Country Code,gdp_psy
ABW,4098239741.0
AFG,76710638230.0
AGO,200822000000.0
ALB,37436768380.0
ARE,626057000000.0
ARG,893498000000.0
ARM,37395693507.0
ATG,1693498508.0
AUS,1250710000000.0
AUT,462408000000.0
AZE,138546000000.0
BDI,8692912762.0
BEL,563009000000.0
BEN,40287138158.0
BFA,45062646234.0
BGD,802276000000.0
BGR,155177000000.0
BHR,70582646570.0
BHS,12130357326.0
BIH,47602215754.0
BLR,179971000000.0
BLZ,2434173511.0
BOL,91576909124.0
BRA,2989430000000.0
BRB,3636795228.0
BRN,27211828479.0
BTN,8141626868.0
BWA,34462243851.0
CAF,4522048180.0
CAN,1752160000000.0
CHE,593811000000.0
CHL,445876000000.0
CHN,23020500000000.0
CIV,136674000000.0
CMR,97328037838.0
COD,96945315647.0
COG,18948901358.0
COL,684320000000.0
COM,2599367673.0
CPV,3360981311.0
CRI,101389000000.0
CYP,34705470007.0
CZE,411988000000.0
DEU,4276400000000.0
DJI,5415352401.0
DMA,740705836.9
DNK,325508000000.0
DOM,184447000000.0
DZA,470758000000.0
ECU,182239000000.0
EGY,1223040000000.0
ESP,1715070000000.0
EST,46873656514.0
ETH,264052000000.0
FIN,260742000000.0
FJI,10264956881.0
FRA,2851550000000.0
FSM,387453504.5
GAB,31874304912.0
GBR,2868470000000.0
GEO,51992666509.0
GHA,169215000000.0
GIN,35075367591.0
GMB,5212151511.0
GNB,3635809047.0
GNQ,23861442452.0
GRC,289692000000.0
GRD,1630235117.0
GTM,141497000000.0
GUY,14692887062.0
HKG,420133000000.0
HND,50893693122.0
HRV,109599000000.0
HTI,33457835490.0
HUN,303214000000.0
IDN,3130470000000.0
IND,8508760000000.0
IRL,452645000000.0
IRN,1062040000000.0
IRQ,362501000000.0
ISL,19193749232.0
ISR,359909000000.0
ITA,2322900000000.0
JAM,25942788894.0
JOR,100160000000.0
JPN,5062660000000.0
KAZ,475672000000.0
KEN,233360000000.0
KGZ,31023828376.0
KHM,70078676204.0
KIR,269887963.0
KNA,1293595539.0
KOR,2194530000000.0
KWT,191522000000.0
LAO,56827439678.0
LBN,78413510391.0
LBR,7040310854.0
LBY,70652572981.0
LCA,2212532552.0
LKA,274797000000.0
LSO,4963571547.0
LTU,103710000000.0
LUX,70958266480.0
LVA,57204025762.0
MAC,37485855489.0
MAR,262041000000.0
MDA,32295999034.0
MDG,40535912001.0
MDV,6888899566.0
MEX,2301750000000.0
MHL,232765481.1
MKD,33018242862.0
MLI,45076214716.0
MLT,20602817870.0
MMR,264290000000.0
MNE,11344394879.0
MNG,38434280707.0
MOZ,38442318986.0
MRT,23758855674.0
MUS,24635011075.0
MWI,28864096822.0
MYS,856782000000.0
NAM,22397137941.0
NER,29562836662.0
NGA,1013530000000.0
NIC,34978304053.0
NLD,947499000000.0
NOR,341855000000.0
NPL,110722000000.0
NRU,147282729.5
NZL,217479000000.0
OMN,150656000000.0
PAK,1007850000000.0
PAN,109551000000.0
PER,371291000000.0
PHL,871562000000.0
PLW,279942082.9
PNG,36358320844.0
POL,1227880000000.0
PRI,106818000000.0
PRT,329113000000.0
PRY,88369101121.0
QAT,245727000000.0
ROU,555983000000.0
RUS,3875690000000.0
RWA,27182935233.0
SAU,1543240000000.0
SDN,172198000000.0
SEN,55601158551.0
SGP,531038000000.0
SLB,1705430099.0
SLE,13060690599.0
SLV,51776917513.0
SMR,2060526423.0
SOM,18769350816.0
SRB,125944000000.0
STP,887953769.3
SUR,9306685013.0
SVK,166548000000.0
SVN,77895775315.0
SWE,527229000000.0
SWZ,9750861926.0
SYC,2405201475.0
TCD,24951483879.0
TGO,17450565630.0
THA,1206470000000.0
TJK,34884626700.0
TKM,92330752074.0
TLS,5176134942.0
TON,670858813.0
TTO,33199395209.0
TUN,121260000000.0
TUR,2394680000000.0
TUV,52014548.74
TZA,152788000000.0
UGA,99488097436.0
UKR,516638000000.0
URY,75061787660.0
USA,19863500000000.0
UZB,250985000000.0
VCT,1336286217.0
VNM,798209000000.0
VUT,876695947.6
WSM,1273152976.0
ZAF,751194000000.0
ZMB,60259234496.0
ZWE,49841507415.0
AIA,175400000.0
AND,3327000000.0
ASM,658000000.0
BMU,5230000000.0
COK,299900000.0
CUB,137000000000.0
CUW,3860000000.0
CYM,4780000000.0
ERI,9702000000.0
FLK,206400000.0
FRO,2001000000.0
GGY,3465000000.0
GIB,2044000000.0
GRL,2413000000.0
GUM,5793000000.0
IMN,6792000000.0
JEY,5569000000.0
LIE,4978000000.0
MAF,561500000.0
MCO,7672000000.0
MNP,1242000000.0
MSR,167400000.0
NCL,11110000000.0
NIU,10010000.0
PRK,40000000000.0
PSE,25910000000.0
PYF,5490000000.0
SHN,31100000.0
SPM,261300000.0
SSD,20010000000.0
SXM,1440000000.0
SYR,50280000000.0
TCA,820000000.0
TKL,7711583.0
TWN,1143277000000.0
VEN,269068000000.0
VGB,500000000.0
VIR,3872000000.0
WLF,60000000.0
XKX,19130000000.0
YEM,73630000000.0
