Country Code,pop_psy
ABW,106766
AFG,38928341
AGO,32866267
AIA,15002
ALB,2877800
AND,77265
ARE,9890400
ARG,45195777
ARM,2963234
ASM,55197
ATG,97928
AUS,25499881
AUT,9006400
AZE,10139175
BDI,11890781
BEL,11589616
BEN,12123198
BES,26221
BFA,20903278
BGD,164689383
BGR,6948445
BHR,1701583
BHS,393248
BIH,3280815
BLM,9885
BLR,9449321
BLZ,397621
BMU,62273
BOL,11673029
BRA,212559409
BRB,287371
BRN,437483
BTN,771612
BWA,2351625
CAF,4829764
CAN,37742157
CHE,8654618
CHI,173859
CHL,19116209
CHN,1439323774
CIV,26378275
CMR,26545864
COD,89561404
COG,5518092
COK,17564
COL,50882884
COM,869595
CPV,555988
CRI,5094114
CUB,11326616
CUW,164100
CYM,65720
CYP,1207361
CZE,10708982
DEU,83783945
DJI,988002
DMA,71991
DNK,5792203
DOM,10847904
DZA,43851043
ECU,17643060
EGY,102334403
ERI,3546427
ESH,597330
ESP,46754783
EST,1326539
ETH,114963583
FIN,5540718
FJI,896444
FLK,3483
FRA,65273512
FRO,48865
FSM,115021
GAB,2225728
GBR,67886004
GEO,3989175
GHA,31072945
GIB,33691
GIN,13132792
GLP,400127
GMB,2416664
GNB,1967998
GNQ,1402985
GRC,10423056
GRD,112519
GRL,56772
GTM,17915567
GUF,298682
GUM,168783
GUY,786559
HKG,7496988
HND,9904608
HRV,4105268
HTI,11402533
HUN,9660350
IDN,273523621
IMN,85032
IND,1380004385
IRL,4937796
IRN,83992953
IRQ,40222503
ISL,341250
ISR,8655541
ITA,60461828
JAM,2961161
JOR,10203140
JPN,126476458
KAZ,18776707
KEN,53771300
KGZ,6524191
KHM,16718971
KIR,119446
KNA,53192
KOR,51269183
KWT,4270563
LAO,7275556
LBN,6825442
LBR,5057677
LBY,6871287
LCA,183629
LIE,38137
LKA,21413250
LSO,2142252
LTU,2722291
LUX,625976
LVA,1886202
MAC,649342
MAF,38659
MAR,36910558
MCO,39244
MDA,4033963
MDG,27691019
MDV,540542
MEX,128932753
MHL,59194
MKD,2083380
MLI,20250834
MLT,441539
MMR,54409794
MNE,628062
MNG,3278292
MNP,57557
MOZ,31255435
MRT,4649660
MSR,4999
MTQ,375265
MUS,1271767
MWI,19129955
MYS,32365998
MYT,272813
NAM,2540916
NCL,285491
NER,24206636
NGA,206139587
NIC,6624554
NIU,1618
NLD,17134873
NOR,5421242
NPL,29136808
NRU,10834
NZL,4822233
OMN,5106622
PAK,220892331
PAN,4314768
PER,32971845
PHL,109581085
PLW,18092
PNG,8947027
POL,37846605
PRI,2860840
PRK,25778815
PRT,10196707
PRY,7132530
PSE,5101416
PYF,280904
QAT,2881060
REU,895308
ROU,19237682
RUS,145934460
RWA,12952209
SAU,34813867
SDN,43849269
SEN,16743930
SGP,5850343
SHN,6071
SLB,686878
SLE,7976985
SLV,6486201
SMR,33938
SOM,15893219
SPM,5795
SRB,8737370
SSD,11193729
STP,219161
SUR,586634
SVK,5459643
SVN,2078931
SWE,10099270
SWZ,1160164
SXM,42882
SYC,98340
SYR,17500657
TCA,38718
TCD,16425859
TGO,8278736
THA,69799978
TJK,9537642
TKL,1350
TKM,6031187
TLS,1318442
TON,105697
TTO,1399491
TUN,11818618
TUR,84339067
TUV,11792
TWN,23816775
TZA,59734213
UGA,45741000
UKR,43733759
URY,3473727
USA,331002647
UZB,33469199
VAT,809
VCT,110947
VEN,28435943
VGB,30237
VIR,104423
VNM,97338583
VUT,307150
WLF,11246
WSM,198410
YEM,29825968
ZAF,59308690
ZMB,18383956
ZWE,14862927
