Country Code,totalPOP
ABW,3402708
AFG,1621718503
AGO,1645929428
AIA,498047
ALB,83525636
AND,2405229
ARE,325624147
ARG,1565411182
ARM,90642137
ASM,1687863
ATG,3294160
AUS,908797170
AUT,283963674
AZE,335405455
BDI,563561996
BEL,371497426
BEN,553520371
BES,878944
BFA,976121927
BGD,5651361542
BGR,190693025
BHR,64450577
BHS,13507658
BIH,93404987
BLM,321773
BLR,281672892
BLZ,15294969
BMU,1818132
BOL,430694881
BRA,6971641525
BRB,8877957
BRN,14749426
BTN,26559348
BWA,91779519
CAF,204017439
CAN,1302962203
CHE,289260568
CHI,5845032
CHL,613737388
CHN,44856087015
CIV,1182640595
CMR,1178764728
COD,4310528712
COG,246672219
COK,540073
COL,1676975689
COM,36160471
CPV,19452783
CRI,171737460
CUB,337779070
CUW,5328690
CYM,2363651
CYP,40131424
CZE,330789185
DEU,2554752766
DJI,35957276
DMA,2246820
DNK,187784954
DOM,372603167
DZA,1638548757
ECU,641864231
EGY,4055046566
ERI,145842097
ESH,24765399
ESP,1413335213
EST,38684750
ETH,4966105584
FIN,172095061
FJI,30770697
FLK,104992
FRA,2075064522
FRO,1599588
FSM,4016776
GAB,93282270
GBR,2212025720
GEO,116783435
GHA,1283755580
GIB,1052752
GIN,598019032
GLP,12323179
GMB,111782484
GNB,84891365
GNQ,65410988
GRC,301271179
GRD,3583067
GRL,1735636
GTM,702107349
GUF,13017920
GUM,5703930
GUY,25479047
HKG,247455337
HND,373397247
HRV,116188308
HTI,411507699
HUN,282288267
IDN,9519285684
IMN,2750885
IND,47657268522
IRL,165987655
IRN,2947207116
IRQ,1718922136
ISL,11279354
ISR,330670087
ITA,1795746549
JAM,93704632
JOR,352242654
JPN,3621431035
KAZ,666176916
KEN,2259128692
KGZ,243858404
KHM,606287733
KIR,4596829
KNA,1731077
KOR,1552309548
KWT,152488547
LAO,264690018
LBN,198348732
LBR,220904409
LBY,242758325
LCA,5791656
LIE,1228811
LKA,681110857
LSO,74776324
LTU,74191150
LUX,22168190
LVA,51464892
MAC,23450108
MAF,1401408
MAR,1307719467
MCO,1326768
MDA,116101939
MDG,1248334468
MDV,16933788
MEX,4477013451
MHL,2102880
MKD,61938750
MLI,967660907
MLT,13689281
MMR,1841592960
MNE,19057209
MNG,120699095
MNP,1901347
MOZ,1466988354
MRT,208877976
MSR,142876
MTQ,11140757
MUS,38775251
MWI,875204523
MYS,1151750816
MYT,11840354
NAM,100946241
NCL,9920545
NER,1322347713
NGA,9243412629
NIC,238061668
NIU,52501
NLD,538409655
NOR,187712240
NPL,1042234872
NRU,339629
NZL,163626702
OMN,190298429
PAK,8733309289
PAN,159885373
PER,1150792842
PHL,3996821970
PLW,566197
PNG,359404114
POL,1114891033
PRI,85238335
PRK,824205980
PRT,300977103
PRY,255325804
PSE,215997608
PYF,9309663
QAT,106863009
REU,30038766
ROU,551403094
RUS,4375612620
RWA,556604579
SAU,1257736343
SDN,1917077500
SEN,759524576
SGP,194988792
SHN,187966
SLB,30147606
SLE,325046778
SLV,211224807
SMR,1060700
SOM,764632482
SPM,173237
SRB,246458263
SSD,477619843
STP,9315161
SUR,19964713
SVK,163846726
SVN,62781748
SWE,334747560
SWZ,43783776
SXM,1540874
SYC,3194672
SYR,853368368
TCA,1404667
TCD,769504670
TGO,362518514
THA,2144578411
TJK,395589134
TKL,45680
TKM,219172718
TLS,52232253
TON,3735802
TTO,43226858
TUN,402678080
TUR,2834419690
TUV,430048
TWN,731783403
TZA,2848681922
UGA,2080926501
UKR,1223162532
URY,111157800
USA,11075987264
UZB,1203090454
VAT,24841
VCT,3471838
VEN,1058029919
VGB,982229
VIR,3004916
VNM,3263670181
VUT,13245582
WLF,313634
WSM,7203997
YEM,1220804142
ZAF,2118145252
ZMB,870613673
ZWE,597553513
