Country Code,sex,age,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,F,d15,8.990,8.996,9.002,9.008,9.014,9.020,9.095,9.169,9.243,9.318,9.393,9.417,9.441,9.466,9.491,9.515,9.524,9.533,9.542,9.551,9.560,9.572,9.584,9.596,9.608,9.620,9.668,9.716,9.763,9.811,9.858,9.901,9.944,9.986,10.029,10.072,10.120,10.170,10.219,10.268,10.318,10.357,10.395,10.434,10.473,10.512,10.552,10.593,10.634,10.675,10.715,10.757,10.797,10.839,10.880,10.922,10.964,11.007,11.049,11.091,11.133
ABW,F,d20,9.415,9.516,9.617,9.718,9.819,9.920,9.990,10.060,10.130,10.200,10.270,10.377,10.483,10.589,10.696,10.803,10.881,10.960,11.038,11.117,11.195,11.210,11.225,11.240,11.255,11.270,11.326,11.382,11.438,11.494,11.550,11.600,11.649,11.699,11.749,11.799,11.856,11.914,11.972,12.029,12.087,12.133,12.178,12.223,12.268,12.314,12.361,12.409,12.456,12.504,12.551,12.599,12.647,12.695,12.743,12.793,12.841,12.890,12.940,12.989,13.039
ABW,F,d25,9.307,9.344,9.380,9.415,9.451,9.488,9.608,9.729,9.851,9.972,10.092,10.162,10.232,10.301,10.370,10.440,10.553,10.665,10.777,10.890,11.002,11.018,11.033,11.049,11.063,11.079,11.133,11.189,11.243,11.299,11.354,11.402,11.451,11.500,11.549,11.598,11.654,11.711,11.768,11.823,11.880,11.925,11.969,12.013,12.058,12.102,12.149,12.195,12.242,12.288,12.335,12.382,12.429,12.476,12.524,12.572,12.620,12.668,12.716,12.765,12.813
ABW,F,d30,9.098,9.114,9.130,9.146,9.162,9.178,9.277,9.376,9.475,9.573,9.672,9.784,9.896,10.009,10.120,10.232,10.296,10.360,10.423,10.486,10.550,10.565,10.579,10.594,10.609,10.624,10.676,10.729,10.781,10.834,10.886,10.933,10.979,11.026,11.072,11.119,11.173,11.227,11.281,11.335,11.389,11.431,11.473,11.516,11.558,11.601,11.645,11.690,11.734,11.779,11.823,11.868,11.914,11.959,12.005,12.050,12.096,12.143,12.189,12.235,12.282
ABW,F,d35,8.562,8.640,8.719,8.796,8.874,8.953,9.040,9.127,9.213,9.300,9.387,9.518,9.648,9.777,9.908,10.037,10.066,10.095,10.123,10.152,10.180,10.194,10.208,10.222,10.236,10.250,10.300,10.351,10.401,10.452,10.502,10.547,10.592,10.637,10.682,10.727,10.779,10.831,10.883,10.935,10.987,11.028,11.069,11.110,11.150,11.191,11.234,11.277,11.320,11.363,11.406,11.450,11.493,11.537,11.581,11.625,11.669,11.714,11.758,11.803,11.848
ABW,F,d40,8.062,8.152,8.241,8.329,8.418,8.508,8.627,8.745,8.864,8.983,9.102,9.207,9.312,9.416,9.521,9.625,9.764,9.904,10.043,10.183,10.322,10.337,10.351,10.365,10.379,10.393,10.444,10.496,10.547,10.599,10.650,10.695,10.741,10.787,10.833,10.879,10.931,10.985,11.037,11.091,11.143,11.185,11.227,11.268,11.310,11.351,11.395,11.439,11.482,11.527,11.570,11.614,11.659,11.703,11.748,11.793,11.838,11.883,11.929,11.975,12.021
ABW,F,d45,7.445,7.521,7.598,7.675,7.751,7.828,8.014,8.201,8.389,8.575,8.762,8.893,9.023,9.152,9.283,9.412,9.460,9.508,9.555,9.602,9.650,9.663,9.677,9.689,9.703,9.716,9.764,9.812,9.860,9.907,9.955,9.998,10.040,10.083,10.126,10.168,10.217,10.266,10.316,10.365,10.414,10.452,10.491,10.530,10.569,10.607,10.648,10.689,10.729,10.770,10.810,10.852,10.893,10.934,10.976,11.018,11.060,11.102,11.144,11.187,11.229
ABW,F,d50,6.718,6.833,6.947,7.062,7.178,7.293,7.401,7.508,7.617,7.725,7.832,8.045,8.258,8.470,8.683,8.895,9.047,9.200,9.352,9.505,9.658,9.671,9.684,9.697,9.710,9.723,9.771,9.819,9.867,9.915,9.963,10.005,10.048,10.091,10.133,10.175,10.225,10.274,10.323,10.373,10.421,10.460,10.499,10.538,10.576,10.616,10.656,10.697,10.738,10.778,10.819,10.860,10.901,10.943,10.984,11.026,11.068,11.110,11.152,11.195,11.238
ABW,F,d55,6.247,6.373,6.497,6.623,6.747,6.873,6.976,7.080,7.183,7.287,7.390,7.569,7.749,7.928,8.108,8.287,8.373,8.460,8.546,8.631,8.718,8.729,8.740,8.752,8.764,8.775,8.818,8.861,8.904,8.947,8.990,9.029,9.067,9.105,9.144,9.182,9.226,9.271,9.315,9.359,9.403,9.438,9.473,9.508,9.543,9.578,9.615,9.652,9.688,9.725,9.761,9.799,9.836,9.873,9.911,9.948,9.986,10.024,10.062,10.101,10.139
ABW,F,d60,5.957,6.040,6.123,6.207,6.290,6.372,6.528,6.684,6.839,6.995,7.150,7.247,7.343,7.439,7.536,7.633,7.851,8.069,8.288,8.506,8.725,8.736,8.748,8.759,8.771,8.783,8.825,8.869,8.912,8.955,8.998,9.036,9.075,9.113,9.151,9.190,9.234,9.278,9.323,9.367,9.411,9.447,9.481,9.516,9.551,9.586,9.623,9.660,9.696,9.733,9.770,9.807,9.844,9.881,9.919,9.957,9.995,10.033,10.071,10.109,10.147
ABW,F,d65,5.864,5.929,5.995,6.061,6.126,6.192,6.330,6.468,6.606,6.745,6.883,6.945,7.008,7.071,7.133,7.196,7.196,7.195,7.194,7.194,7.193,7.202,7.210,7.219,7.228,7.237,7.272,7.308,7.344,7.379,7.415,7.447,7.478,7.510,7.542,7.574,7.610,7.647,7.683,7.720,7.756,7.785,7.815,7.844,7.872,7.902,7.932,7.962,7.993,8.023,8.053,8.084,8.114,8.145,8.176,8.207,8.239,8.270,8.301,8.332,8.364
ABW,F,d70,5.864,5.929,5.995,6.061,6.126,6.192,6.330,6.468,6.606,6.745,6.883,6.945,7.008,7.071,7.133,7.196,7.196,7.195,7.194,7.194,7.193,7.202,7.210,7.219,7.228,7.237,7.272,7.308,7.344,7.379,7.415,7.447,7.478,7.510,7.542,7.574,7.610,7.647,7.683,7.720,7.756,7.785,7.815,7.844,7.872,7.902,7.932,7.962,7.993,8.023,8.053,8.084,8.114,8.145,8.176,8.207,8.239,8.270,8.301,8.332,8.364
ABW,F,d70,5.864,5.929,5.995,6.061,6.126,6.192,6.330,6.468,6.606,6.745,6.883,6.945,7.008,7.071,7.133,7.196,7.196,7.195,7.194,7.194,7.193,7.202,7.210,7.219,7.228,7.237,7.272,7.308,7.344,7.379,7.415,7.447,7.478,7.510,7.542,7.574,7.610,7.647,7.683,7.720,7.756,7.785,7.815,7.844,7.872,7.902,7.932,7.962,7.993,8.023,8.053,8.084,8.114,8.145,8.176,8.207,8.239,8.270,8.301,8.332,8.364
ABW,F,d75,5.864,5.929,5.995,6.061,6.126,6.192,6.330,6.468,6.606,6.745,6.883,6.945,7.008,7.071,7.133,7.196,7.196,7.195,7.194,7.194,7.193,7.202,7.210,7.219,7.228,7.237,7.272,7.308,7.344,7.379,7.415,7.447,7.478,7.510,7.542,7.574,7.610,7.647,7.683,7.720,7.756,7.785,7.815,7.844,7.872,7.902,7.932,7.962,7.993,8.023,8.053,8.084,8.114,8.145,8.176,8.207,8.239,8.270,8.301,8.332,8.364
ABW,F,d75,5.864,5.929,5.995,6.061,6.126,6.192,6.330,6.468,6.606,6.745,6.883,6.945,7.008,7.071,7.133,7.196,7.196,7.195,7.194,7.194,7.193,7.202,7.210,7.219,7.228,7.237,7.272,7.308,7.344,7.379,7.415,7.447,7.478,7.510,7.542,7.574,7.610,7.647,7.683,7.720,7.756,7.785,7.815,7.844,7.872,7.902,7.932,7.962,7.993,8.023,8.053,8.084,8.114,8.145,8.176,8.207,8.239,8.270,8.301,8.332,8.364
ABW,M,d15,8.832,8.810,8.789,8.767,8.745,8.723,8.774,8.825,8.876,8.927,8.977,8.987,8.996,9.006,9.015,9.025,9.027,9.028,9.030,9.031,9.033,9.030,9.027,9.024,9.021,9.019,9.053,9.088,9.122,9.156,9.191,9.226,9.261,9.296,9.330,9.365,9.409,9.453,9.496,9.540,9.584,9.623,9.662,9.701,9.740,9.779,9.820,9.862,9.903,9.944,9.986,10.027,10.069,10.112,10.154,10.197,10.240,10.282,10.325,10.369,10.412
ABW,M,d20,9.648,9.718,9.789,9.859,9.930,10.000,9.970,9.941,9.912,9.882,9.852,9.918,9.983,10.049,10.114,10.180,10.201,10.223,10.245,10.266,10.287,10.286,10.284,10.283,10.281,10.280,10.318,10.357,10.396,10.435,10.473,10.513,10.552,10.591,10.631,10.670,10.719,10.768,10.818,10.867,10.916,10.960,11.004,11.048,11.092,11.136,11.182,11.229,11.276,11.322,11.369,11.416,11.463,11.511,11.559,11.607,11.655,11.703,11.752,11.800,11.850
