Country Code,sex,age,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFG,F,d15,1.12,1.204,1.288,1.372,1.456,1.54,1.632,1.724,1.816,1.908,2.0,1.932,1.864,1.796,1.728,1.66,2.154,2.648,3.142,3.636,4.13,4.665,5.201,5.736,6.272,6.807,7.306,7.805,8.304,8.803,9.302,9.612,9.921,10.23,10.54,10.849,11.178,11.507,11.836,12.164,12.493,12.779,13.065,13.352,13.638,13.924,14.195,14.466,14.736,15.007,15.278,15.564,15.856,16.152,16.455,16.763,17.077,17.397,17.723,18.055,18.393
AFG,F,d20,1.29,1.302,1.314,1.326,1.338,1.35,1.44,1.53,1.62,1.71,1.8,1.912,2.024,2.136,2.248,2.36,2.354,2.348,2.342,2.336,2.33,2.632,2.934,3.236,3.538,3.84,4.122,4.403,4.685,4.966,5.248,5.422,5.597,5.772,5.946,6.121,6.306,6.492,6.677,6.863,7.048,7.21,7.371,7.533,7.694,7.855,8.008,8.161,8.314,8.466,8.619,8.781,8.945,9.113,9.283,9.457,9.634,9.815,9.999,10.186,10.377
AFG,F,d25,0.93,1.004,1.078,1.152,1.226,1.3,1.314,1.328,1.342,1.356,1.37,1.458,1.546,1.634,1.722,1.81,1.88,1.95,2.02,2.09,2.16,2.44,2.72,3.0,3.28,3.56,3.821,4.082,4.343,4.604,4.865,5.027,5.189,5.351,5.512,5.674,5.846,6.018,6.19,6.362,6.534,6.684,6.833,6.983,7.133,7.282,7.424,7.566,7.707,7.849,7.99,8.14,8.292,8.448,8.606,8.767,8.931,9.099,9.269,9.443,9.62
AFG,F,d30,0.74,0.778,0.816,0.854,0.892,0.93,1.004,1.078,1.152,1.226,1.3,1.314,1.328,1.342,1.356,1.37,1.458,1.546,1.634,1.722,1.81,2.045,2.279,2.514,2.749,2.983,3.202,3.421,3.639,3.858,4.077,4.212,4.348,4.484,4.619,4.755,4.899,5.043,5.187,5.331,5.475,5.601,5.726,5.851,5.977,6.102,6.221,6.34,6.458,6.577,6.696,6.821,6.949,7.079,7.212,7.347,7.484,7.624,7.767,7.913,8.061
AFG,F,d35,0.37,0.446,0.522,0.598,0.674,0.75,0.788,0.826,0.864,0.902,0.94,1.012,1.084,1.156,1.228,1.3,1.314,1.328,1.342,1.356,1.37,1.548,1.725,1.903,2.081,2.258,2.424,2.589,2.755,2.92,3.086,3.188,3.291,3.394,3.496,3.599,3.708,3.817,3.926,4.035,4.144,4.239,4.334,4.429,4.524,4.619,4.709,4.799,4.888,4.978,5.068,5.163,5.26,5.358,5.458,5.561,5.665,5.771,5.879,5.989,6.101
AFG,F,d40,0.37,0.37,0.37,0.37,0.37,0.37,0.446,0.522,0.598,0.674,0.75,0.788,0.826,0.864,0.902,0.94,1.014,1.088,1.162,1.236,1.31,1.48,1.65,1.82,1.989,2.159,2.317,2.476,2.634,2.792,2.951,3.049,3.147,3.245,3.343,3.441,3.546,3.65,3.754,3.858,3.963,4.053,4.144,4.235,4.326,4.417,4.502,4.588,4.674,4.76,4.846,4.937,5.029,5.123,5.219,5.317,5.417,5.518,5.622,5.727,5.834
AFG,F,d45,0.1,0.154,0.208,0.262,0.316,0.37,0.37,0.37,0.37,0.37,0.37,0.446,0.522,0.598,0.674,0.75,0.788,0.826,0.864,0.902,0.94,1.062,1.184,1.306,1.427,1.549,1.663,1.776,1.89,2.004,2.117,2.188,2.258,2.328,2.399,2.469,2.544,2.619,2.694,2.769,2.843,2.909,2.974,3.039,3.104,3.169,3.231,3.292,3.354,3.416,3.477,3.542,3.609,3.676,3.745,3.815,3.887,3.96,4.034,4.109,4.186
AFG,F,d50,0.1,0.1,0.1,0.1,0.1,0.1,0.154,0.208,0.262,0.316,0.37,0.37,0.37,0.37,0.37,0.37,0.446,0.522,0.598,0.674,0.75,0.847,0.944,1.042,1.139,1.236,1.327,1.417,1.508,1.599,1.689,1.745,1.802,1.858,1.914,1.97,2.03,2.09,2.149,2.209,2.269,2.321,2.373,2.425,2.477,2.529,2.578,2.627,2.676,2.725,2.774,2.826,2.879,2.933,2.988,3.044,3.101,3.159,3.218,3.279,3.34
AFG,F,d55,0.04,0.052,0.064,0.076,0.088,0.1,0.1,0.1,0.1,0.1,0.1,0.154,0.208,0.262,0.316,0.37,0.37,0.37,0.37,0.37,0.37,0.418,0.466,0.514,0.562,0.61,0.655,0.699,0.744,0.789,0.833,0.861,0.889,0.917,0.944,0.972,1.001,1.031,1.06,1.09,1.119,1.145,1.171,1.196,1.222,1.247,1.272,1.296,1.32,1.344,1.369,1.394,1.42,1.447,1.474,1.502,1.53,1.559,1.588,1.618,1.648
AFG,F,d60,0.04,0.04,0.04,0.04,0.04,0.04,0.052,0.064,0.076,0.088,0.1,0.1,0.1,0.1,0.1,0.1,0.154,0.208,0.262,0.316,0.37,0.418,0.466,0.514,0.562,0.61,0.655,0.699,0.744,0.789,0.833,0.861,0.889,0.917,0.944,0.972,1.001,1.031,1.06,1.09,1.119,1.145,1.171,1.196,1.222,1.247,1.272,1.296,1.32,1.344,1.369,1.394,1.42,1.447,1.474,1.502,1.53,1.559,1.588,1.618,1.648
AFG,F,d65,0.025,0.027,0.028,0.03,0.031,0.032,0.033,0.034,0.035,0.037,0.038,0.044,0.05,0.055,0.061,0.067,0.071,0.075,0.078,0.082,0.085,0.096,0.107,0.118,0.13,0.141,0.151,0.161,0.171,0.182,0.192,0.198,0.205,0.211,0.218,0.224,0.231,0.238,0.244,0.251,0.258,0.264,0.27,0.276,0.282,0.288,0.293,0.299,0.304,0.31,0.315,0.321,0.327,0.334,0.34,0.346,0.353,0.359,0.366,0.373,0.38
AFG,M,d15,3.96,3.99,4.02,4.05,4.08,4.11,4.594,5.078,5.562,6.046,6.53,6.212,5.894,5.576,5.258,4.94,5.012,5.084,5.156,5.228,5.3,5.421,5.542,5.663,5.784,5.905,5.998,6.09,6.183,6.275,6.367,6.443,6.518,6.594,6.669,6.745,6.807,6.869,6.932,6.994,7.056,7.122,7.188,7.254,7.32,7.386,7.458,7.53,7.601,7.673,7.745,7.819,7.893,7.968,8.044,8.121,8.198,8.276,8.355,8.434,8.515
AFG,M,d20,5.26,5.15,5.04,4.93,4.82,4.71,4.834,4.958,5.082,5.206,5.33,5.784,6.238,6.692,7.146,7.6,7.396,7.192,6.988,6.784,6.58,6.73,6.881,7.031,7.181,7.331,7.446,7.561,7.676,7.791,7.905,7.999,8.093,8.186,8.28,8.374,8.451,8.528,8.606,8.683,8.76,8.842,8.924,9.006,9.088,9.17,9.259,9.348,9.437,9.526,9.615,9.707,9.799,9.893,9.987,10.082,10.178,10.275,10.373,10.471,10.571
AFG,M,d25,4.23,4.492,4.754,5.016,5.278,5.54,5.446,5.352,5.258,5.164,5.07,5.148,5.226,5.304,5.382,5.46,5.97,6.48,6.99,7.5,8.01,8.193,8.376,8.559,8.742,8.925,9.064,9.204,9.344,9.484,9.623,9.737,9.851,9.965,10.08,10.194,10.288,10.382,10.476,10.57,10.664,10.764,10.864,10.963,11.063,11.163,11.271,11.38,11.488,11.596,11.705,11.816,11.929,12.042,12.157,12.273,12.39,12.508,12.627,12.747,12.868
AFG,M,d30,3.66,3.774,3.888,4.002,4.116,4.23,4.494,4.758,5.022,5.286,5.55,5.454,5.358,5.262,5.166,5.07,5.15,5.23,5.31,5.39,5.47,5.595,5.72,5.845,5.97,6.095,6.19,6.285,6.381,6.476,6.572,6.65,6.728,6.805,6.883,6.961,7.025,7.09,7.154,7.218,7.282,7.351,7.419,7.487,7.555,7.623,7.697,7.771,7.845,7.919,7.993,8.069,8.146,8.224,8.302,8.381,8.461,8.541,8.623,8.705,8.788
AFG,M,d35,2.93,3.08,3.23,3.38,3.53,3.68,3.794,3.908,4.022,4.136,4.25,4.514,4.778,5.042,5.306,5.57,5.476,5.382,5.288,5.194,5.1,5.216,5.333,5.449,5.566,5.682,5.771,5.86,5.949,6.038,6.127,6.2,6.272,6.345,6.418,6.49,6.55,6.61,6.67,6.73,6.79,6.853,6.917,6.98,7.044,7.108,7.177,7.246,7.315,7.384,7.453,7.523,7.595,7.667,7.74,7.814,7.889,7.964,8.04,8.116,8.193
AFG,M,d40,2.94,2.94,2.94,2.94,2.94,2.94,3.09,3.24,3.39,3.54,3.69,3.804,3.918,4.032,4.146,4.26,4.524,4.788,5.052,5.316,5.58,5.707,5.835,5.962,6.09,6.217,6.315,6.412,6.509,6.607,6.704,6.783,6.863,6.942,7.022,7.101,7.167,7.232,7.298,7.363,7.429,7.498,7.568,7.637,7.707,7.777,7.852,7.927,8.003,8.078,8.154,8.232,8.31,8.389,8.469,8.55,8.631,8.713,8.796,8.88,8.965
AFG,M,d45,1.01,1.398,1.786,2.174,2.562,2.95,2.952,2.954,2.956,2.958,2.96,3.112,3.264,3.416,3.568,3.72,3.834,3.948,4.062,4.176,4.29,4.388,4.486,4.584,4.682,4.78,4.855,4.93,5.004,5.079,5.154,5.215,5.276,5.337,5.398,5.459,5.51,5.56,5.611,5.661,5.711,5.765,5.818,5.872,5.925,5.979,6.037,6.095,6.153,6.211,6.269,6.329,6.389,6.45,6.511,6.573,6.636,6.699,6.763,6.827,6.892
AFG,M,d50,1.02,1.02,1.02,1.02,1.02,1.02,1.412,1.804,2.196,2.588,2.98,2.98,2.98,2.98,2.98,2.98,3.132,3.284,3.436,3.588,3.74,3.825,3.911,3.996,4.082,4.167,4.232,4.298,4.363,4.428,4.493,4.547,4.6,4.653,4.706,4.76,4.803,4.847,4.891,4.935,4.979,5.026,5.072,5.119,5.166,5.212,5.263,5.313,5.364,5.415,5.465,5.517,5.57,5.623,5.676,5.73,5.785,5.84,5.896,5.952,6.009
