Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFG,46.559555756704164,50.61710273776645,50.45076646664978,54.977029199881656,58.52860108339372,56.186491530541645,60.512724982550125,65.2091751515796,69.00578063600825,73.29329543932614,79.63033978263456,2.9174087952287907e-08,3.0034511604759115e-08,3.101343043924207e-08,3.213502214623699e-08,3.34268496582792e-08,3.4919145264522467e-08,3.664818340478743e-08,3.8662375271009505e-08,4.102468792798554e-08,4.313672666615204e-08,4.5375349738493215e-08,4.774916870887206e-08,5.0267461699602886e-08,5.294042668008117e-08,5.577889379568075e-08,5.879408532932307e-08,6.199772578276946e-08,6.540273534927681e-08,6.902281194363975e-08,7.287276943153843e-08,7.696833972440177e-08,8.132656332300687e-08,8.59660038310417e-08,9.09068006269575e-08,9.61703487982718e-08,1.0177953770950504e-07,1.0775853324787509e-07,1.1413288376595057e-07,1.209296644477461e-07,1.281781848081317e-07
AGO,96.69701138524053,122.10724989998927,122.18561186735363,139.01555145177417,122.84295639398361,84.5688841602954,49.631710161621875,69.04783079562536,66.75852609752242,55.14016160987008,47.52875995573784,9.59555039102676e-10,9.39818446725615e-10,9.207936989625807e-10,9.024386347333924e-10,8.847204249677297e-10,8.676146470987761e-10,8.511046072668591e-10,8.351781160387673e-10,8.198267306394858e-10,8.047131857190658e-10,7.900491885621008e-10,7.758267899257998e-10,7.620466021366781e-10,7.487107176701079e-10,7.358163651892781e-10,7.233546090664244e-10,7.113112218825351e-10,6.996696121282763e-10,6.884123607367779e-10,6.775252058768299e-10,6.669963763689981e-10,6.568194431492482e-10,6.469906917136491e-10,6.375073350991733e-10,6.283637796110553e-10,6.195499959713024e-10,6.11052680730378e-10,6.028591019302314e-10,5.949561906413097e-10,5.873319062136096e-10
ALB,252.31904166515935,272.15476239900073,260.3175823350448,276.43637837129097,293.8799757178461,254.64577738361797,276.52836758492185,296.9663391938276,355.7643172674524,371.2267289406208,398.2334349112887,2.1501435509830716e-07,2.3382415913262314e-07,2.5609978742009964e-07,2.827634994758928e-07,3.1513166213847277e-07,3.5514823463697703e-07,4.05746936407325e-07,4.714426979049316e-07,5.596144165480769e-07,5.619555037504364e-07,5.643896738388128e-07,5.669240212739769e-07,5.69601774174181e-07,5.724672752394864e-07,5.755622035460699e-07,5.78906607903833e-07,5.824912975959764e-07,5.863027757909857e-07,5.903146128047061e-07,5.945046962377788e-07,5.988721412305653e-07,6.034253360502886e-07,6.081545469824414e-07,6.130657251326166e-07,6.181442005740995e-07,6.233958409336328e-07,6.288180085208738e-07,6.344062441941388e-07,6.401629819494113e-07,6.460893801776368e-07
AND,3135.373332729281,3302.3123593189457,2596.0581614265657,2688.4666423108274,2797.443528983578,2473.8682537155987,2587.7127640613085,2755.357392457835,3082.4316384588415,2995.091753393015,3287.7077020625647,9.589289939240376e-06,1.0428446399205267e-05,1.1422076754502014e-05,1.2618681015091201e-05,1.4086901264397631e-05,1.5922674526321426e-05,1.828241289572385e-05,2.1402421723914358e-05,2.5677871381474052e-05,2.5674905774656988e-05,2.566798868863467e-05,2.5664366940336525e-05,2.5662391872015583e-05,2.5658442647212576e-05,2.5659429839455397e-05,2.56620627235166e-05,2.5663708550450803e-05,2.5669305941466887e-05,2.568083767346128e-05,2.5696999515819357e-05,2.5717147807834228e-05,2.574825792808307e-05,2.578342997076889e-05,2.5827030287366333e-05,2.587713575495609e-05,2.5939537186922356e-05,2.6010014979937016e-05,2.6090059362104332e-05,2.6182584567390273e-05,2.628336222037617e-05
ARE,1361.8160454049223,1480.1768717327627,1403.5242289935375,1523.8835479223683,1588.2811277008739,1385.53797113015,1536.7472886665284,1650.0179438289165,1817.346383966698,1876.441567076502,2058.1574989959954,2.0715583013373027e-08,2.132985840617462e-08,2.2012143375897166e-08,2.2761438579374445e-08,2.3580094852213547e-08,2.4473810959127412e-08,2.545676401807906e-08,2.655253373601149e-08,2.7793210521051613e-08,2.900690429826421e-08,3.03220953453154e-08,3.174140568199014e-08,3.3262549506449857e-08,3.487630926544473e-08,3.6575585522068664e-08,3.836091665230524e-08,4.02392497906158e-08,4.221540038710195e-08,4.429643201303077e-08,4.648957019076171e-08,4.879670279247426e-08,5.122093787093925e-08,5.377364750951975e-08,5.6470588940895663e-08,5.932499969132765e-08,6.235023299724071e-08,6.554878064446172e-08,6.890814127400024e-08,7.240329458885921e-08,7.60120498442994e-08
ARG,978.4286929610324,1208.3916796053525,1284.9934753149143,1279.5862266589545,1193.8304236069364,1412.3811866067913,1262.9289758325806,1498.832841169783,1217.5445076100436,1004.0775975601528,883.1052895686022,2.2140065906934736e-08,2.4227792089991116e-08,2.6777352998644108e-08,2.9950626613719166e-08,3.399241219844065e-08,3.928909516736704e-08,4.6483150676309766e-08,5.6714047980601294e-08,7.21767904910155e-08,7.164633344093304e-08,7.113340637506776e-08,7.063740521598685e-08,7.015763806970996e-08,6.96933546765798e-08,6.924386195265235e-08,6.880874512084804e-08,6.83877134309811e-08,6.798050880429863e-08,6.758692117118556e-08,6.720668460067415e-08,6.683954684252889e-08,6.648513051219964e-08,6.614291111804832e-08,6.58123450920068e-08,6.549297770299118e-08,6.518455325081546e-08,6.488696491651438e-08,6.460007721409251e-08,6.432382166868186e-08,6.405814521596615e-08
ARM,297.3781811160269,330.7207311662125,336.15244033282175,396.0994970317373,405.79839003180956,365.0576716666787,357.3869276417118,405.545090753204,422.47604499968793,524.00871999125,522.1808019837584,2.369776505595446e-07,2.5016164704275177e-07,2.649838959961073e-07,2.817456096645076e-07,3.0081587938191423e-07,3.226771998179148e-07,3.4794355213643837e-07,3.7741185700596396e-07,4.121441071367509e-07,4.4510240982265903e-07,4.808005541394524e-07,5.194701281728553e-07,5.613497979752599e-07,6.066959461153091e-07,6.55793155648095e-07,7.08942131562776e-07,7.6648275660468e-07,8.287739018772309e-07,8.961969727988609e-07,9.691775812710144e-07,1.0481708448422873e-06,1.1336775369544014e-06,1.2262622778219634e-06,1.3265460129674785e-06,1.4351973586752e-06,1.552941456567574e-06,1.6805538266996715e-06,1.8189042445376355e-06,1.968921366745322e-06,2.1316394886639986e-06
ATG,793.2986339581737,781.374704100975,804.3078937839269,797.9339747024029,874.8138270123811,811.2400176373284,807.242778188299,782.2135238377386,836.7344780654246,777.3849093082458,853.0733541895124,3.1411606113767116e-06,3.281813894744183e-06,3.4384644283511865e-06,3.6142541753584497e-06,3.813230488605521e-06,4.038885769293043e-06,4.2964653049241475e-06,4.593805867522161e-06,4.938670376941283e-06,5.262647463947557e-06,5.608301713921535e-06,5.978966819919366e-06,6.376137126784947e-06,6.801485113962711e-06,7.256963321072858e-06,7.745658178664283e-06,8.267298347270799e-06,8.827850222591643e-06,9.428069168547102e-06,1.007223955867547e-05,1.0762276202445927e-05,1.1501447099131407e-05,1.2295821729322773e-05,1.3147148508028101e-05,1.4058490123520972e-05,1.5038500420198813e-05,1.6089771276357788e-05,1.721642618025583e-05,1.8426154567325023e-05,1.972517148656385e-05
AUS,4366.350438300823,5297.970949860904,5861.074254590749,5934.555086347476,6118.829289467371,5749.190304384099,5020.242110090671,5458.138544343422,5768.844727887186,5647.3637468690085,5565.683291280632,2.126045539945627e-08,2.2125275907584986e-08,2.3092650167351765e-08,2.4177360852515382e-08,2.539813365649613e-08,2.677916922752936e-08,2.8351617688369252e-08,3.0155201920964156e-08,3.22416317672064e-08,3.4171456159118046e-08,3.6222980407423344e-08,3.840369605511634e-08,4.0722411839796024e-08,4.318875120083474e-08,4.581274552446245e-08,4.86048768659459e-08,5.157567986555265e-08,5.4735957018987836e-08,5.8096744441472214e-08,6.166994130912101e-08,6.546882830069776e-08,6.950782113876355e-08,7.380202020353903e-08,7.836748841787889e-08,8.322140962391988e-08,8.838195305086776e-08,9.386864692949837e-08,9.970292277436743e-08,1.0590780020203578e-07,1.1250776066839307e-07
AUT,4737.296148552956,5089.507900634887,4879.725640869064,5130.2190115874,5278.836590167282,4535.135440739418,4658.19324672342,4883.198604493941,5268.276884448934,5189.103703138613,5493.636393833448,6.154988039462695e-08,6.421331128638474e-08,6.719576544257844e-08,7.04981063153662e-08,7.413386842446943e-08,7.814704607073113e-08,8.261211849243469e-08,8.761586098817004e-08,9.327472309916397e-08,9.867025753550957e-08,1.0440126429549194e-07,1.1048284118486559e-07,1.169376291974949e-07,1.2378974052565137e-07,1.310643223497924e-07,1.3878906366945202e-07,1.469924186561667e-07,1.557034214977005e-07,1.6495250756812574e-07,1.7477195415343336e-07,1.8519670770315668e-07,1.9626539122623565e-07,2.0801956921335175e-07,2.2050344111354703e-07,2.3376406348915892e-07,2.478497677237635e-07,2.6281289879802054e-07,2.787092499287666e-07,2.9559966426755026e-07,3.1354683978102544e-07
