Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AGO,1163622.201,1342378.618,1421445.8727999998,1416421.0219999999,1565222.0167999999,1545097.9119999998,1475153.086,1734445.1395999999,1746200.856,1759679.4279999998,1671761.9775999996,1588258.2537199997,1508987.2820339997,1433647.5959322997,1362078.5021356847
ALB,209316.06519999998,222499.5016,209625.31639999998,219287.15074999997,271017.47404999996,268359.56584999996,281302.4023,278679.9224,287725.54004999995,294902.87864999997,280172.9267174999,266182.2643816249,252892.23416254364,240270.44445441643,228283.0522316956
ARG,3690749.143,3976936.7479999997,4049816.0919999997,4063377.9119999995,4112112.565,4151100.3511999995,4085295.2887999997,4255917.9015999995,4312946.197,4330567.099,4114423.962,3909188.8041279996,3714361.6819215994,3529289.108825519,3353429.0353842434
ARM,69976.08896,71514.55554,78495.96052499999,85832.41593,121398.99062499999,103323.5547,112019.9114,122319.6365,124541.14642499998,126967.33677499999,120631.61193624999,114613.91033943748,108902.7288224656,103481.67838134231,98332.84546227519
ATG,16124.40298,17266.528674999998,16277.953399999999,15381.44522,14568.022984374998,13977.547978125,13345.12963,12470.942106249999,13322.968109374999,14084.058590624998,13381.266661093747,12713.80432803906,12079.982111637106,11478.02700605525,10906.417655752486
AUS,5443325.417599999,5580205.645,6239467.609599999,6932838.955,7704455.346,7568194.903999999,7707067.940799999,7305665.016,7436755.445,7569717.4207999995,7192596.379759999,6834625.000771999,6494617.780733399,6171627.511696729,5864848.146111892
AUT,2534262.737,2704982.0711999997,3036461.5031999997,3142438.7455999996,3272718.8335999995,3460776.606,3589544.4423999996,3595856.5031999997,3637955.408,3689789.9511999995,3505735.1546399994,3330928.0109079992,3164852.984362599,3007127.997144469,2857307.4012872456
AZE,157296.92164999997,168575.68824999998,193720.13259999998,203815.16724999997,286923.7205,270944.75269999995,290354.9973,325516.4217,337921.2163,351133.24399999995,333619.27479999996,316993.13605999993,301222.2862569999,286233.5279441499,271997.5005469424
BDI,18206.660643749998,18501.005921875,16913.50833,16283.596221875,17546.445471875,18098.126234375,20623.539021875,22386.01046,23240.333443749998,24132.608568749998,22929.064140312497,21785.96193329687,20700.580836632027,19669.792794800425,18690.588155060403
BEL,3640939.81,3698044.456,4104913.1711999997,4162744.7495999997,4117304.0711999997,4221920.159,4363570.041,4341793.495,4409279.870399999,4486291.76,4262502.771999999,4049978.938399999,3848064.064479999,3656293.260255999,3474140.780243199
