Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AGO,906812.8125,1046118,1107735.25,1103819.375,1219780.25,1204097.5,1149589.375,1351656.125,1360817.375,1371321.25,1317527.691,1266734.032,1219116.547,1174038.715,1131597.843
ALB,163120.375,173394.25,163361.375,170890.8594,211204.3906,209133.0781,219219.4531,217175.75,224225.0156,229818.3281,219137.5327,209062.9471,199534.9387,190515.2578,181977.6709
ARG,2876207.25,3099233.75,3156028.75,3166597.5,3204576.5,3234959.75,3183677.75,3316644.25,3361086.5,3374818.5,3206702.166,3047056.868,2895430.186,2751373.141,2614494.077
ARM,54532.48828,55731.41797,61172.03906,66889.35156,94606.44531,80520.22656,87297.3125,95323.90625,97055.13281,98945.86719,97809.85983,96950.54984,96640.88034,96724.08533,97099.99906
ATG,12565.775390625,13455.83594,12685.4375,11986.787109375,11352.8857421875,10892.7275390625,10399.88281,9718.626953,10382.6123046875,10975.7314453125,10430.69687,9913.221029,9422.005978,8955.537679,8512.662795
AUS,4241993,4348664,4862428,5402773.5,6004095.5,5897907.5,6006131.5,5693317.5,5795476.5,5899094,5606311.389,5328286.924,5064253.379,4813468.148,4575252.062
AUT,1974955.375,2107997.25,2366319.75,2448908,2550435.5,2696989.25,2797338.25,2802257.25,2835065,2875459.75,2732035.107,2595796.457,2466387.193,2343445.375,2226648.429
AZE,122581.7656,131371.3281,150966.4375,158833.5156,223600.1563,211147.7188,226274.1563,253675.5156,263342.5938,273638.75,259985.9115,247017.3489,234698.6635,222996.2743,211880.0376
BDI,14188.482421875,14417.8662109375,13180.72656,12689.8349609375,13673.9755859375,14103.9013671875,16071.9599609375,17445.45703,18111.232421875,18806.583984375,19652.46079,20511.76175,21361.74566,22219.10538,23076.56211
BEL,2837390.75,2881892.5,3198966,3244034.25,3208622.25,3290149.75,3400537.75,3383567.25,3436159.5,3496175,3321788.86,3156151.305,2998809.253,2849340.657,2707350.88
BEN,60880.21094,63203.62109,62226.17188,66340.5625,67093.82813,69432.88281,72821.14844,74870.33594,81024.50781,88006.9375,92312.51363,97025.75894,102086.699,107524.298,113373.8581
BFA,56276.91797,61479.85156,61112.64063,65543.54688,62999.30078,60657.24219,66440.28125,72456.41406,78750.57031,86375.10156,91078.70048,96173.07846,101184.5245,106245.4953,111609.4275
BGD,1234244.875,1390265.125,1522656.625,1658249.375,1828391.75,1999870,2188867.75,2399446,2611485.5,2843306.5,2727641.825,2619599.174,2518970.715,2425126.508,2337708.146
BGR,358049.6563,360970.5625,387243.3438,381212.3125,397034.0938,407637.5625,412716.3125,433696.5313,445620.4688,458279.1563,435462.4814,413794.0944,393213.2386,373663.4357,355093.6939
BHR,233892.2031,244149.9844,314083,279038.5,288766.3438,297085.6875,318826.5,384923,407005.7813,428701.6563,407279.3924,386928.7988,367596.5349,349231.3071,331784.7838
BHS,65629.75781,69530.01563,66475.47656,67769.88281,69575.25781,70277.65625,71015.66406,72809.57031,74514.38281,76626.07813,72804.55322,69175.61056,65729.33103,62455.69548,59345.9857
BIH,100617.8984,114522.125,114323.3594,123105.6875,127401.2813,127161.6172,122302.4453,128190.9766,133064.4844,138297.5,131414.572,124878.1524,118670.0038,112772.8616,107171.4855
BLR,446344.375,458664.625,446906.8125,491409.6563,629745.8125,574858.5625,598473,634667.375,643405.1875,656323.125,623630.2228,592574.9716,563066.552,535038.2814,508415.8994
