Country Code,sex,age,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,F,d0,2498403.358061705,2586837.12730544,2675627.511621252,2763713.135283904,2824278.0426915158,2880111.343770958,2965357.1718929377,3055131.208441892,3135284.5501821632,3220603.5282052667
AFG,F,d10,1927858.3554822823,1982997.2092128303,2043338.0129641728,2100238.876542628,2144252.481978368,2183941.69335041,2224905.767797684,2267590.1394956904,2318821.5187466964,2376876.8683101484
AFG,F,d15,1678478.461252902,1742682.5959328627,1784173.7558926097,1822449.5919921168,1854993.799461584,1890662.051302756,1943103.5021221372,2001945.578443859,2055902.8054786725,2108107.890017056
AFG,F,d20,1151732.064282017,1276348.0243033608,1407053.078815651,1522059.561351326,1590981.3476416776,1642696.414601196,1702882.2954733218,1749662.5696456735,1789476.3879188187,1836737.511989263
AFG,F,d25,856942.0538275614,895098.0078527845,937979.2605076232,994225.431624116,1056248.7197869753,1134141.7666299923,1241797.5344477326,1359170.6865114018,1461582.8673102062,1549832.326741459
AFG,F,d30,696479.8110111168,712618.7588225296,743997.9701855618,780215.0161408797,811207.1728380348,840608.433570769,873509.3523135891,912464.2517897238,963578.3830164018,1031661.750832884
AFG,F,d35,846290.5254677916,795141.3701968867,745749.9921083526,711635.7257113012,689798.9319910177,681542.9179422711,694726.02482951,723834.0215946914,757503.7548564542,791885.3640055796
AFG,F,d40,714091.7512871635,793689.2956155633,849502.9535175549,870358.887761266,857490.7494771462,819369.0933067193,768257.1419862058,719766.981382336,685877.8176751706,667128.6688766346
AFG,F,d45,379455.7395291877,422635.63550474175,473968.063613971,535558.2409087421,605618.3702617352,683027.9267627599,758355.8550185028,811218.3682702293,830186.3870907488,819218.0581950421
AFG,F,d5,2227677.692820542,2275538.336838522,2321442.5111601166,2376261.847281203,2423376.7568786927,2475535.683973785,2549702.468414131,2626931.4937101803,2703682.4063691874,2784166.6850474146
AFG,F,d50,212460.8463014804,228264.2284741353,254595.3730693748,286411.5189862893,320495.7021494873,356681.987912308,397206.2580289405,445590.4159554042,503230.9681150506,569560.3073514068
AFG,F,d55,227811.6773151568,216431.1003707666,205193.793184436,196193.82511893185,191316.16486716765,194376.6198183325,209014.6752155598,233339.18263240397,262363.6420367483,293502.1741994295
AFG,F,d60,179282.76392932006,188505.54265843003,195881.33306257345,198088.73457747488,191550.7445928924,200574.2475151301,190697.11920906664,180936.30367642493,172888.50833979336,168439.80079616676
AFG,F,d65,369276.49999217654,373400.1880496812,378147.1627605301,385963.8256370637,399366.8520262162,393754.10814908094,404377.9261901849,413751.26756375964,419859.01458675927,422212.5138400786
AFG,M,d0,2653468.9341357625,2748211.615215238,2843000.0517707346,2936862.6439665966,3000760.37722712,3059890.8214572,3151682.1283874884,3248491.955575496,3333996.4745063093,3424537.049217
AFG,M,d10,2028972.912014603,2090222.7880326223,2156994.9138541427,2218947.4323704257,2264981.89241532,2306362.263142352,2350438.6876211097,2396477.5235086014,2451522.550489604,2513913.0292579453
AFG,M,d15,1787869.528305807,1855820.747196344,1898209.5407384853,1936744.2560054716,1961003.7746051496,1990762.3872230165,2050303.806555966,2118963.630648577,2179440.9536803183,2236619.492813609
AFG,M,d20,1239783.665345177,1371688.1127979497,1511877.838374614,1633952.266494937,1698524.6163510557,1740767.526377878,1795679.5950943374,1837464.6865385484,1874371.843605618,1924887.170825815
