Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,3491496479,3611815359,3562338436,3711893680,3723029361,3935242067,4017882135,4098239741,,,
Africa Eastern and Southern,AFE,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.85138E+12,1.92745E+12,1.97587E+12,2.05856E+12,2.14432E+12,2.21318E+12,2.27061E+12,2.33433E+12,2.39692E+12,2.4493E+12,2.38107E+12
Afghanistan,AFG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,57116893447,57360414055,64675178731,68297470349,70158264545,71176481723,72785293848,74711922906,75600418109,78557606649,76710638230
Africa Western and Central,AFW,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.33008E+12,1.39532E+12,1.46841E+12,1.55704E+12,1.64782E+12,1.69325E+12,1.70022E+12,1.74409E+12,1.79863E+12,1.85884E+12,1.84509E+12
Angola,AGO,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.79666E+11,1.85904E+11,2.01785E+11,2.11782E+11,2.21996E+11,2.2409E+11,2.18309E+11,2.17987E+11,2.1362E+11,2.12285E+11,2.00822E+11
Albania,ALB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,31313465847,32110520731,32565604774,32891917846,33475568106,34218299364,35352629378,36696816739,38171793797,38978524114,37436768380
Andorra,AND,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,
Arab World,ARB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,4.67023E+12,4.83869E+12,5.09285E+12,5.24676E+12,5.38676E+12,5.58996E+12,5.78207E+12,5.85561E+12,6.00747E+12,6.13545E+12,5.84314E+12
United Arab Emirates,ARE,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,4.69581E+11,5.02116E+11,5.2463E+11,5.5114E+11,5.75446E+11,6.04565E+11,6.22607E+11,6.37385E+11,6.44969E+11,6.66972E+11,6.26057E+11
Argentina,ARG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,9.59396E+11,1.017E+12,1.00656E+12,1.03077E+12,1.00487E+12,1.03232E+12,1.01084E+12,1.03933E+12,1.01213E+12,9.91622E+11,8.93498E+11
Armenia,ARM,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,26719305576,27975112937,29989321069,30978968665,32094211537,33121226305,33187468758,35676528915,37531708419,40384118258,37395693507
American Samoa,ASM,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1602675635,1571285428,1624282783,1614522851,1675805741,1739910222,1835543678,1893259104,2023584261,2121975706,1693498508
Australia,AUS,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,9.89556E+11,1.014E+12,1.05372E+12,1.08112E+12,1.10882E+12,1.13291E+12,1.16397E+12,1.19069E+12,1.22488E+12,1.25076E+12,1.25071E+12
Austria,AUT,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,4.33588E+11,4.4626E+11,4.49297E+11,4.49412E+11,4.52383E+11,4.56973E+11,4.66064E+11,4.7659E+11,4.88513E+11,4.95798E+11,4.62408E+11
Azerbaijan,AZE,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.27505E+11,1.27633E+11,1.30396E+11,1.37972E+11,1.41767E+11,1.43318E+11,1.38875E+11,1.39153E+11,1.4124E+11,1.44771E+11,1.38546E+11
Burundi,BDI,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,7341030040,7637064601,7976662580,8369449021,8724368199,8384117570,8333811187,8375481077,8510320717,8667121392,8692912762
