Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.062524278,0.0639062755,0.0596941697,0.0663566545,0.0671073392,0.0652809759,0.0649250599,0.0646848279,0.0629964306,0.0688625115,0.0694635178,0.067927764,0.0657312777,0.0654238922,0.0613293806,0.0632839534,0.0623543465,0.0614907442,0.0620223812,0.0620493449,0.0620659928,0.0620826452,0.062099302,0.0621159633,0.0621326291,0.0621492994,0.0621659741,0.0621826533,0.0621993369,0.0622160251,0.0622327177,0.0622494148,0.0622661164,0.0622828225,0.062299533,0.0623162481,0.0623329676,0.0623496916,0.0623664201,0.0623831531,0.0623998905,0.0624166325,0.0624333789,0.0624501299,0.0624668853,0.0624836452,0.0625004097,0.0625171786,0.062533952,0.06255073,0.0625675124
AFG,0.0944338989,0.0944338989,0.0944338989,0.0894125843,0.0980847359,0.0994828987,0.1062276554,0.0990467453,0.1025649548,0.0981848717,0.0856967163,0.0856190681,0.0789717579,0.0880594063,0.0952887058,0.1010534763,0.1181856155,0.1262081718,0.1412674332,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181,0.1324220181
AFW,0.0377129356,0.0377025508,0.0338761166,0.0468110246,0.0448188333,0.0427728401,0.041396213,0.0390850627,0.0373170988,0.0378690128,0.0352177502,0.0355073142,0.0350506277,0.0362193545,0.0361479435,0.0383468457,0.0381125336,0.0378963052,0.0339316057,0.0336604398,0.0333187637,0.032980556,0.0326457813,0.0323144047,0.0319863919,0.0316617086,0.031340321,0.0310221958,0.0307072997,0.0303956001,0.0300870644,0.0297816605,0.0297816605,0.0297816605,0.0297816605,0.0297816605,0.0297816605,0.0297816605,0.0297816605,0.0297816605,0.0297816605,0.0297816605,0.0297816605,0.0297816605,0.0297816605,0.0297816605,0.0297816605,0.0297816605,0.0297816605,0.0297816605,0.0297816605
AGO,0.0190859938,0.0448351622,0.0332946134,0.0354797316,0.0396720099,0.0285219693,0.0268553662,0.0297438812,0.0332290483,0.0384260869,0.0269510007,0.0264560795,0.0239574957,0.0273282766,0.0243412852,0.0260579491,0.0271314907,0.0279150295,0.0254010224,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953,0.0253335953
ALB,0.072333703,0.0713952398,0.0690934134,0.0706348991,0.0677337217,0.0633554173,0.0600927734,0.0631683397,0.051390624,0.046022253,0.047457962,0.0479534149,0.0505526543,0.0538561106,0.0550347328,0.0489631176,0.0491601658,0.0501263571,0.0523207188,0.0523207188,0.0509905005,0.0496941021,0.0484306637,0.0471993474,0.0459993364,0.0448298349,0.0436900672,0.0425792772,0.0414967284,0.0404417026,0.0394135001,0.038411439,0.0374348545,0.0364830991,0.0355555414,0.0346515662,0.0337705739,0.0329119803,0.0320752158,0.0312597255,0.0304649685,0.0296904176,0.0296904176,0.0296904176,0.0296904176,0.0296904176,0.0296904176,0.0296904176,0.0296904176,0.0296904176,0.0296904176
AND,0.0596051121,0.0586593914,0.0609839916,0.0563991785,0.0538125277,0.0573988628,0.0506450415,0.050283227,0.0578568554,0.0623957682,0.0658006001,0.0608633614,0.0612628031,0.0615502787,0.0613150549,0.0628353453,0.0630526257,0.0658945513,0.0675162506,0.0671158504,0.0679258378,0.0687456006,0.0695752567,0.0704149255,0.0712647278,0.072124786,0.0729952238,0.0738761664,0.0747677407,0.075670075,0.0765832991,0.0775075444,0.078442944,0.0793896324,0.080347746,0.0813174225,0.0822988016,0.0832920244,0.084297234,0.0853145749,0.0863441936,0.0873862383,0.0884408588,0.0895082071,0.0905884366,0.0916817029,0.0927881633,0.093907977,0.0950413051,0.0961883109,0.0973491592
ARB,0.0400092337,0.0428449784,0.0426642874,0.0414622217,0.0383106111,0.0351228003,0.0348364282,0.0358376752,0.034090176,0.0429702171,0.0389950749,0.0389307743,0.0397068992,0.0421832921,0.0455095125,0.0507346545,0.050449539,0.0528079475,0.0504336596,0.0508374195,0.0517167441,0.0526112781,0.0535212847,0.0544470315,0.0553887907,0.0563468394,0.0573214592,0.0583129368,0.0593215639,0.0603476369,0.0613914577,0.0624533333,0.0635335759,0.0646325033,0.0657504386,0.0668877106,0.0680446537,0.0692216083,0.0704189204,0.0716369421,0.0728760318,0.0741365537,0.0754188786,0.0767233836,0.0780504524,0.0794004752,0.0807738491,0.082170978,0.0835922727,0.0850381513,0.0865090389
ARE,0.0237413526,0.0248437047,0.0271770859,0.0264634395,0.0246204352,0.0232019687,0.023254137,0.0256569624,0.0292847776,0.0404999352,0.0387874508,0.0367007303,0.0342520428,0.0359299517,0.0363020945,0.0358359432,0.0346601534,0.0405959463,0.0414545679,0.0427504921,0.0444163913,0.0461472072,0.0479454695,0.0498138064,0.0517549485,0.053771733,0.0558671074,0.0580441343,0.0603059955,0.0626559967,0.0650975728,0.067634292,0.070269862,0.0730081348,0.0758531125,0.0788089531,0.0818799768,0.085070672,0.088385702,0.091829912,0.0954083358,0.0991262035,0.1029889489,0.1070022175,0.1111718751,0.1155040156,0.1200049708,0.1246813191,0.1246813191,0.1246813191,0.1246813191
ARG,0.082200098,0.0837179756,0.073933115,0.0689451599,0.0722868299,0.0761078882,0.0764032841,0.0783455086,0.0818266869,0.0945598793,0.0944546986,0.0941821575,0.0982728195,0.0978097343,0.0967129135,0.1022933865,0.0900189686,0.1044225502,0.0966646481,0.095100708,0.0973318268,0.099615289,0.1019523225,0.1043441843,0.1067921605,0.1092975677,0.1118617532,0.1144860961,0.1171720075,0.1199209321,0.122734348,0.1256137684,0.1256137684,0.1256137684,0.1256137684,0.1256137684,0.1256137684,0.1256137684,0.1256137684,0.1256137684,0.1256137684,0.1256137684,0.1256137684,0.1256137684,0.1256137684,0.1256137684,0.1256137684,0.1256137684,0.1256137684,0.1256137684,0.1256137684
ARM,0.0419580364,0.0464562702,0.0761359835,0.0717937517,0.0605508518,0.0586188269,0.0585007095,0.0549814558,0.066397624,0.0844377995,0.0923539066,0.0937587833,0.09134552,0.1032344532,0.1017827034,0.1011763382,0.0995196629,0.1036270523,0.1000543404,0.1133526421,0.1192201021,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788,0.1253912788
