Index,Location,Notes,LocID,Country Code,LocType,LocTypeName,ParentID,WorldID,SubRegID,SubRegName,SDGSubRegID,SDGSubRegName,SDGRegID,SDGRegName,GeoRegID,GeoRegName,MoreDev,LessDev,LeastDev,oLessDev,LessDev_ExcludingChina,LLDC,SIDS,WB_HIC,WB_MIC,WB_UMIC,WB_LMIC,WB_LIC,WB_NoIncomeGroup,MaxHIV_Male,MaxHIV_Female,MaxHIV_BothSexes,YearMaxHIV_BothSexes,HIVAIDSMortalityImpact_AgePattern,HIVAIDSMortalityImpact_e0,TotPop2019LessThan90k
1,WORLD,,900,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UN development groups,a,1803,,25,Label/Separator,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,More developed regions,b,901,,5,Development group,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Less developed regions,c,902,,5,Development group,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Least developed countries,d,941,,5,Development group,902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Less developed regions, excluding least developed countries",e,934,,5,Development group,902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Less developed regions, excluding China",,948,,5,Development group,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Land-locked Developing Countries (LLDC),f,1636,,5,Development group,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Small island developing States (SIDS),g,1637,,5,Development group,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,World Bank income groups,,1802,,25,Label/Separator,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,High-income countries,h,1503,,13,Income group,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Middle-income countries,h,1517,,13,Income group,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Upper-middle-income countries,h,1502,,13,Income group,1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Lower-middle-income countries,h,1501,,13,Income group,1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Low-income countries,h,1500,,13,Income group,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,No income group available,,1518,,13,Income group,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Geographic regions,i,1840,,25,Label/Separator,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Africa,j,903,,2,Geographic region,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Asia,k,935,,2,Geographic region,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Europe,l,908,,2,Geographic region,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Latin America and the Caribbean,m,904,,2,Geographic region,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Northern America,n,905,,2,Geographic region,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Oceania,o,909,,2,Geographic region,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sustainable Development Goal (SDG) regions,p,1828,,25,Label/Separator,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,SUB-SAHARAN AFRICA,,947,,12,SDG region,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Eastern Africa,,910,,3,Subregion,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Burundi,,108,BDI,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,1636,,,,,,1500,,3.48,4.45,3.96,1997,,Yes,
28,Comoros,,174,COM,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,,1637,,,,,1500,,0.07,0.04,0.05,2003,,,
29,Djibouti,,262,DJI,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,,,,1517,,1501,,,2.43,3.20,2.81,2002,,Yes,
30,Eritrea,,232,ERI,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,,,,,,,1500,,1.07,2.23,1.66,1998,,Yes,
31,Ethiopia,,231,ETH,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,1636,,,,,,1500,,2.61,4.68,3.65,1997,,Yes,
32,Kenya,,404,KEN,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,,934,948,,,,1517,,1501,,,7.94,12.37,10.19,1997,Yes,Yes,
33,Madagascar,,450,MDG,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,,,,,,,1500,,0.36,0.16,0.26,2017,,,
34,Malawi,,454,MWI,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,1636,,,,,,1500,,12.32,17.39,14.90,1998,Yes,Yes,
35,Mauritius,1,480,MUS,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,,934,948,,1637,,1517,1502,,,,1.99,0.93,1.46,2008,,Yes,
36,Mayotte,2,175,MYT,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,,934,948,,,,,,,,1518,,,,,,,
37,Mozambique,,508,MOZ,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,,,,,,,1500,,10.76,15.76,13.35,2010,Yes,Yes,
38,Réunion,2,638,REU,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,,934,948,,,,,,,,1518,,,,,,,
39,Rwanda,,646,RWA,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,1636,,,,,,1500,,5.00,6.86,5.95,1995,Yes,Yes,
40,Seychelles,,690,SYC,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,,934,948,,1637,1503,,,,,,,,,,,,
41,Somalia,,706,SOM,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,,,,,,,1500,,0.41,0.37,0.39,2002,,,
42,South Sudan,,728,SSD,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,1636,,,,,,1500,,2.45,3.45,2.95,2006,,Yes,
43,Uganda,,800,UGA,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,1636,,,,,,1500,,9.24,12.11,10.69,1990,Yes,Yes,
44,United Republic of Tanzania,3,834,TZA,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,,,,,,,1500,,7.25,9.70,8.43,1997,Yes,Yes,
45,Zambia,,894,ZMB,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,1636,,,1517,,1501,,,12.88,19.00,15.93,1998,Yes,Yes,
46,Zimbabwe,,716,ZWE,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa,,902,,934,948,1636,,,,,,1500,,23.90,30.64,27.28,1997,Yes,Yes,
47,Middle Africa,,911,   ,3,Subregion,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Angola,,24,AGO,4,Country/Area,911,   900,911,Middle Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,,,,1517,,1501,,,1.25,2.58,1.92,2016,,Yes,
49,Cameroon,,120,CMR,4,Country/Area,911,   900,911,Middle Africa,,,947,Sub-Saharan Africa,903,Africa,,902,,934,948,,,,1517,,1501,,,3.74,6.44,5.08,2004,Yes,Yes,
50,Central African Republic,,140,CAF,4,Country/Area,911,   900,911,Middle Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,1636,,,,,,1500,,8.75,10.98,9.87,1998,Yes,Yes,
51,Chad,,148,TCD,4,Country/Area,911,   900,911,Middle Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,1636,,,,,,1500,,1.79,2.57,2.18,2000,,Yes,
52,Congo,,178,COG,4,Country/Area,911,   900,911,Middle Africa,,,947,Sub-Saharan Africa,903,Africa,,902,,934,948,,,,1517,,1501,,,3.61,6.14,4.85,1996,Yes,Yes,
53,Democratic Republic of the Congo,,180,COD,4,Country/Area,911,   900,911,Middle Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,,,,,,,1500,,1.40,3.02,2.16,1998,,Yes,
54,Equatorial Guinea,,226,GNQ,4,Country/Area,911,   900,911,Middle Africa,,,947,Sub-Saharan Africa,903,Africa,,902,,934,948,,,,1517,1502,,,,5.49,8.06,6.52,2017,Yes,Yes,
55,Gabon,,266,GAB,4,Country/Area,911,   900,911,Middle Africa,,,947,Sub-Saharan Africa,903,Africa,,902,,934,948,,,,1517,1502,,,,2.32,6.43,4.26,2016,Yes,Yes,
56,Sao Tome and Principe,,678,STP,4,Country/Area,911,   900,911,Middle Africa,,,947,Sub-Saharan Africa,903,Africa,,902,941,,948,,1637,,1517,,1501,,,,,,,,,
57,Southern Africa,,913,   ,3,Subregion,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
