measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Myanmar,Both,All Ages,Diabetes mellitus,Number,2019,828691.391459843,996756.5096587007,689737.157224309
DALYs (Disability-Adjusted Life Years),Myanmar,Both,All Ages,Diabetes mellitus,Percent,2019,0.04269588161560118,0.04638312403408336,0.03944081911500216
DALYs (Disability-Adjusted Life Years),Myanmar,Both,All Ages,Diabetes mellitus,Rate,2019,1515.615146051001,1822.9937930239273,1261.4781486287216
DALYs (Disability-Adjusted Life Years),China,Both,All Ages,Diabetes mellitus,Number,2019,9900138.872191891,12244668.689721502,7861132.7825060515
DALYs (Disability-Adjusted Life Years),China,Both,All Ages,Diabetes mellitus,Percent,2019,0.025851210233749273,0.029489902657676606,0.022503043349711302
DALYs (Disability-Adjusted Life Years),China,Both,All Ages,Diabetes mellitus,Rate,2019,696.0407728341897,860.8756672930812,552.6860792485301
DALYs (Disability-Adjusted Life Years),Lao People's Democratic Republic,Both,All Ages,Diabetes mellitus,Number,2019,68343.11744216015,84385.83026473132,53902.14187858718
DALYs (Disability-Adjusted Life Years),Lao People's Democratic Republic,Both,All Ages,Diabetes mellitus,Percent,2019,0.028785545348888806,0.033089047170635655,0.02465131941849851
DALYs (Disability-Adjusted Life Years),Lao People's Democratic Republic,Both,All Ages,Diabetes mellitus,Rate,2019,954.7462027687244,1178.8612230181566,753.0072845043399
DALYs (Disability-Adjusted Life Years),Belgium,Both,All Ages,Diabetes mellitus,Number,2019,101492.04474027635,133099.89044675828,74760.96212381436
DALYs (Disability-Adjusted Life Years),Belgium,Both,All Ages,Diabetes mellitus,Percent,2019,0.029772863993699265,0.03596545056943084,0.024394584191862297
DALYs (Disability-Adjusted Life Years),Belgium,Both,All Ages,Diabetes mellitus,Rate,2019,888.7868775293564,1165.5833354466674,654.6972450614803
DALYs (Disability-Adjusted Life Years),Thailand,Both,All Ages,Diabetes mellitus,Number,2019,875626.7103027119,1083690.6867450075,687449.3028283281
DALYs (Disability-Adjusted Life Years),Thailand,Both,All Ages,Diabetes mellitus,Percent,2019,0.0425383460687809,0.04769557567488278,0.037766383224915816
DALYs (Disability-Adjusted Life Years),Thailand,Both,All Ages,Diabetes mellitus,Rate,2019,1248.9044354327134,1545.6656237051895,980.5074163859338
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Both,All Ages,Diabetes mellitus,Number,2019,209514.88365182126,266025.9243128529,165352.3141230607
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Both,All Ages,Diabetes mellitus,Percent,2019,0.02423265272290641,0.028239047388295534,0.02057050476476849
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Both,All Ages,Diabetes mellitus,Rate,2019,798.6734047647992,1014.0942114629677,630.3251272872304
DALYs (Disability-Adjusted Life Years),Cyprus,Both,All Ages,Diabetes mellitus,Number,2019,16178.87009949021,20064.319432032662,12970.017787924176
DALYs (Disability-Adjusted Life Years),Cyprus,Both,All Ages,Diabetes mellitus,Percent,2019,0.05039292627894827,0.05766416160900137,0.0443519556515728
DALYs (Disability-Adjusted Life Years),Cyprus,Both,All Ages,Diabetes mellitus,Rate,2019,1231.7587234200275,1527.572712922083,987.4566304659274
DALYs (Disability-Adjusted Life Years),Malaysia,Both,All Ages,Diabetes mellitus,Number,2019,245231.13452717997,315171.3667749191,189270.67577489885
DALYs (Disability-Adjusted Life Years),Malaysia,Both,All Ages,Diabetes mellitus,Percent,2019,0.03165323814941687,0.03747794636900226,0.026819680575395823
DALYs (Disability-Adjusted Life Years),Malaysia,Both,All Ages,Diabetes mellitus,Rate,2019,783.4509531208813,1006.8921638857165,604.6715545298878
