Country Code,value,date_of_information
ABW,4158000000,2017 est.
AFG,77040000000,2020 est.
AGO,203710000000,2020 est.
AIA,175400000,2009 est.
ALB,37730000000,2020 est.
AND,3327000000,2015 est.
ARE,655790000000,2019 est.
ARG,893310000000,2020 est.
ARM,37310000000,2020 est.
ASM,658000000,2016 est.
ATG,1760000000,2020 est.
AUS,1250900000000,2020 est.
AUT,463120000000,2020 est.
AZE,138510000000,2020 est.
BDI,8690000000,2020 est.
BEL,557110000000,2020 est.
BEN,40290000000,2020 est.
BFA,45160000000,2020 est.
BGD,793490000000,2020 est.
BGR,155060000000,2020 est.
BHR,69650000000,2020 est.
BHS,12100000000,2020 est.
BIH,47050000000,2020 est.
BLR,179970000000,2020 est.
BLZ,2430000000,2020 est.
BMU,5230000000,2019 est.
BOL,92590000000,2020 est.
BRA,2989430000000,2020 est.
BRB,3700000000,2020 est.
BRN,27230000000,2020 est.
BTN,8420000000,2020 est.
BWA,37720000000,2020 est.
CAF,4483000000,2019 est.
CAN,1742790000000,2020 est.
CHE,590710000000,2020 est.
CHL,445880000000,2020 est.
CHN,23009780000000,2020 est.
CIV,136480000000,2020 est.
CMR,94940000000,2020 est.
COD,96030000000,2020 est.
COG,19030000000,2020 est.
COK,299900000,2016 est.
COL,683940000000,2020 est.
COM,2730000000,2020 est.
CPV,3360000000,2020 est.
CRI,100250000000,2020 est.
CUB,137000000000,2017 est.
CUW,3860000000,2019 est.
CYM,4780000000,2019 est.
CYP,33670000000,2020 est.
CZE,409970000000,2020 est.
DEU,4238800000000,2020 est.
DJI,5420000000,2020 est.
DMA,710000000,2020 est.
DNK,326200000000,2020 est.
DOM,184450000000,2020 est.
DZA,468400000000,2020 est.
ECU,182240000000,2020 est.
EGY,1223040000000,2020 est.
ERI,9702000000,2017 est.
ESP,1714860000000,2020 est.
EST,47440000000,2020 est.
ETH,264050000000,2020 est.
FIN,261390000000,2020 est.
FJI,9860000000,2020 est.
FLK,206400000,2015 est.
FRA,2832170000000,2020 est.
FRO,2001000000,2014 est.
FSM,390000000,2019 est.
GAB,32050000000,2020 est.
GBR,2797980000000,2020 est.
GEO,52330000000,2020 est.
GGY,3465000000,2015 est.
GHA,164840000000,2020 est.
GIB,2044000000,2014 est.
GIN,35080000000,2020 est.
GMB,5220000000,2020 est.
GNB,3640000000,2020 est.
