Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFG,167.71096499440728,163.0666459749559,163.90522129296593,186.37467404994752,200.33351399027097,209.00545952461192,243.11584505357322,259.7869287326348,287.310325656694,273.45626569158094,260.9455544009855,249.00846479075645,237.67147132429517,226.92307055948962,216.76470655234058,207.1814829345472,198.134256092356,189.57596261007023,181.471700791281,181.85222524898128,182.30682426541412,182.83449241899913,183.4367578088509,184.1153136066636,184.87270648947137,185.71101549255144,186.631012297027,187.6326178614878,188.71694479096163,189.884728765804,191.1371344267917,192.47499644473774,193.89965118069898,195.41313489801536,197.01794836009492,198.71608192933556,200.50938460160856,202.39897424146562,204.38538247742187,206.46873405996308,208.6497986139021
AGO,207.31834578415788,203.06180770334086,192.53933846881014,222.46635465486995,200.56838684147476,209.41207277404052,205.35849179783835,204.08359925304114,176.11827063549646,168.98324437613297,154.79528829168825,141.599463783103,138.072419965053,137.8018944782557,137.96579216807,138.77813974116813,139.8931309162183,141.2012735810091,142.34314305719255,136.84212383706006,131.58165675987922,126.55079140791534,121.73963839836013,117.14001293204768,112.74422042354963,108.54408998877375,104.53085281764425,100.6953468507456,97.0284861058375,93.52148712985345,90.16639425047678,86.95593346477794,83.88382945993598,80.94439514455443,78.1322690758286,75.44194829589014,72.86762456360786,70.40336360393223,68.04356796309067,65.78285911383435,63.61621891045845
ALB,504.09045238538147,525.7831719885004,564.9369769888626,610.0413547270978,636.0924259900322,579.6300656322304,602.1081155658643,637.7843116309659,692.8058560167415,707.8951705267091,663.325997914648,625.0084161696927,662.6732613529452,660.5761904737316,663.8420402029525,671.1252088211,678.5962885800374,686.3102405438134,694.2512056503394,700.2971555431305,706.5153660221149,712.893996045388,719.4439596834643,726.2224330775828,733.2890623416392,740.7011566746363,748.4890944673987,756.6458014537244,765.1583989422865,773.9967698328554,783.1358745234268,792.5782575885958,823.2698793059203,855.3488685455719,888.8879223619641,923.9328521275352,960.5614488194961,998.8421590079304,1038.8431596977855,1080.6467068175584,1124.3367897355977
ARE,2130.27534440532,2059.738589167497,1965.7010966970984,2152.9279897057027,2267.1459139451554,2338.9183038121123,2305.278470235611,2727.3833025682693,2776.1401300653647,2918.3056487359227,2811.5336779204176,2714.2535615305633,2858.007405504602,3070.0120556162815,3284.918466356518,3516.979335046747,3767.459068182684,4041.8147175707045,4347.221310909365,4626.541535491783,4931.121304076306,5264.1719641630425,5627.604519093612,6022.53736509497,6448.831724079794,6906.664605002479,7397.630086048964,7924.649538119625,8490.39034045476,9098.128065244397,9751.364392115584,10452.661523452063,11204.964663167506,12013.208531499586,12883.634399490806,13822.30191074754,14835.673465293548,15927.967385769685,16458.516171424177,16998.197626170208,17540.880616355178
ARG,2215.8649200022173,2318.056682074758,2368.986799818025,2389.3084317926896,2279.305474155408,2451.5029350309696,2091.427191655397,2470.1080154293604,2205.470107998846,2105.9073867996854,1924.2017364176834,1758.5235049128544,1965.9241231927267,2074.540073467266,2168.523129125597,2261.6318995684237,2341.9202550552386,2425.481239047763,2512.474337281474,2546.0455496500313,2580.558122976067,2616.039845813342,2591.704208740679,2568.0625892119892,2545.083072553726,2522.736104900895,2501.002504664602,2479.867747926385,2459.3186098310275,2439.3437036395717,2419.9297197283227,2401.063946845087,2382.729290824474,2364.9035410050237,2347.563998045307,2330.691321115351,2314.2734019463205,2298.303504689661,2282.7739294819003,2267.679397115689,2253.0152061488197
ARM,857.6166006152832,911.8302540462588,949.779171384466,1103.7081090516194,1121.6289825712063,1145.4509699628059,1124.8775021483739,1255.456172838586,1272.2018395069797,1547.6901538691689,1504.5448310882123,1462.987897318915,1543.7952152371852,1565.8931564372,1627.918989196883,1699.1124448481187,1775.7305582674269,1856.4247763498925,1941.373070764038,2035.8887311426047,2135.5030545608606,2240.4771468538515,2351.101860452427,2467.628312929774,2590.314964100443,2719.466220509397,2855.373227251707,2998.4015451732826,3148.8993416830917,3307.2078609780947,3473.7350130271693,3648.8894811400974,3833.1294213087094,4027.009162494177,4231.134930481262,4446.123177748823,4672.61776017514,4911.259774395239,5162.803822932646,5427.995338673145,5707.6871238128715
ATG,979.3144242540757,958.1887129406238,984.4141795642252,971.976421158868,1063.2337178821988,981.7279395851398,994.654457894536,967.2018314098676,1019.5328331531776,970.7926414163478,774.0342830894297,617.2812014946701,646.3801370404302,688.1581381430251,725.3658304080469,763.2513491723167,794.641876334862,816.9898998774473,840.2108210218963,882.2317913704353,926.8631903138664,973.8261211063675,1023.5637265871921,1076.1804173818207,1131.8005012986844,1190.583205551295,1252.8579838646021,1318.3958321520665,1387.9565156105266,1461.4446028824914,1539.30378717943,1621.5902282877046,1708.5518570238705,1800.826736543034,1898.3864864360005,2001.384069641434,2110.7411847684953,2226.4811175852365,2348.8259897500066,2478.456165808402,2615.8089040050036
AUS,3765.7000895451156,3842.8960008788713,3991.3216442843423,4073.0617729945398,4246.094311268071,4415.4682297516865,4436.673078714867,4488.136770246022,4503.860953846656,4918.4287301282375,4918.495775313069,4813.788307738166,5044.414606225989,5261.095107025528,5398.698784295893,5531.299983184805,5669.929573681926,5823.088139613063,5987.512512050368,6148.446150341353,6314.868175683184,6486.903344414656,6664.670960654473,6848.439500282023,7038.517931010344,7235.179949224613,7438.67026245017,7649.1444974208825,7866.708583359386,8091.417041397036,8226.081688419956,8363.744259020998,8504.45612340175,8648.241597670272,8795.128428193728,8945.158049229436,9098.362550697206,9254.79696746075,9414.579371086336,9577.842087595636,9744.709552711742
AUT,5269.607702688329,5292.791619887192,5389.703769441158,5402.566664686751,5444.268369148291,5458.9633009342215,5515.774650846786,5611.399188281117,5668.6751594248835,5776.783423135735,5399.251952671167,5054.69406238521,5309.066638326313,5480.244526559302,5682.146921968143,5850.821036095654,5999.575302357938,6145.4693898678925,6293.4950783337335,6450.417727382388,6612.787304408288,6780.761526070803,6954.116588369105,7133.05936618768,7317.801537122055,7508.529323436739,7705.486453292354,7908.865168653835,8118.799427993942,8335.410617093872,8558.82683191036,8789.216846137351,9026.825820989352,9199.465775361834,9376.502287605716,9558.072440708947,9744.244288795897,9935.126488197375,10130.833642179317,10331.5341376719,10537.32520836742
AZE,351.4911988678063,341.38882408180945,417.28363059713644,446.41653427802794,503.66713805937457,611.6291246058686,575.774571992353,528.1163265447345,504.8266466542112,581.8507508872611,568.4738556738788,555.7869082336503,600.2324452208669,631.6473853168937,663.5252847192257,696.4000723952869,731.2942838556428,768.2324906938744,807.502731983236,831.8823034243593,857.1890607448894,883.4360292922561,910.6559489714098,938.8925851116678,968.1984885738262,998.6321251180816,1030.2329298777343,1063.049822346301,1097.1725242240068,1132.7114940869633,1169.7696263748544,1208.4324816590263,1248.7672760077046,1290.8602361638239,1334.7915918072576,1380.6466076494467,1428.5190272498687,1478.4968372805436,1530.65163898794,1585.0403514273326,1641.7297798443487
BDI,95.41721151225416,85.8468244057629,73.56104921629641,74.89529192035077,64.83247817497767,53.051046715576426,61.337165937244485,61.13560590289146,62.78590576535386,60.064838574733564,58.798507660623876,57.61233910406318,57.66763015160289,58.4176241638956,59.7366227884574,61.30201034822208,63.09766610016351,64.75169377027551,66.28863044425492,64.87907728731176,63.520076484159624,62.209058283031304,60.9436680523277,59.72132497435878,58.539508530536025,57.396221154747465,56.2897557260767,55.21884401421612,54.18202737306396,53.17805204441848,52.20580121589134,51.264334779226665,50.3527350541394,49.4703828431806,48.61663013733045,47.79086043621873,46.992317512568185,46.2203016759434,45.474506099916795,44.75464534339043,44.060339083063575
BEL,4889.783910196792,5015.38129742844,5075.138580844502,5093.518042465364,5158.882330327963,5152.347448096705,5357.40980824228,5418.01522096042,5477.207596333083,5511.041665794042,5264.80423549241,5032.919452372013,5423.141817460358,5615.373899596513,5774.180613807143,5938.9946238203165,6093.980895336649,6258.747334695038,6425.46902421503,6634.988688504663,6737.28495915414,6841.895217375777,6948.7063858318525,7057.799992866505,7169.2869756431455,7283.249725099296,7399.772549390384,7518.925544756181,7640.7419894496115,7765.263011199762,7892.540707333523,8022.615106312469,8155.581621329909,8291.576877284779,8430.743080026727,8573.267025777952,8719.199865031267,8868.598366076074,9021.503838461205,9177.931690490741,9337.935589880952
BEN,81.06284734007572,83.843301614368,94.23497922798654,82.23952209283391,79.37908932036125,85.65163370812242,81.12866848718915,79.73921310252415,79.15114620263478,78.5150595816567,79.37095108857902,80.25568154028107,83.30077179186091,85.96522063126079,88.90980651251614,91.85062126863298,94.9159824590867,98.1249312930772,101.45782432797796,103.78295834208525,106.18685170335993,108.67286339117355,111.24447909190432,113.90565648220218,116.660468152692,119.51304358515874,122.46755146976446,125.52850720710548,128.70097524502768,131.990183052667,135.40184930765014,138.94090450665232,142.61260292122182,146.42211293453545,150.37452020822573,154.47549614330705,158.73081718651702,163.1470128967485,167.73057133546428,172.48843317205666,177.42772081039024
