Country Code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ABW,38052,38268,38962,40151,41761,43721,45932,48239,50500,52532,54208,55434,56234,56699,57029,57357,57702,58044,58377,58734,59070,59442,59849,60236,60527,60653,60586,60366,60102,59972,60097,60561,61341,62213,62826,63024,62645,61838,61072,61033,62152,64623,68240,72495,76705,80324,83211,85450,87280,89009,90866,92892,94992,97016,98744,100028,100830,101226,101362,101452,101665,102050,102565,103165,103776,104339,104865,105361,105846,106310,106766,107195,107612,108012,108384,108750,109087,109419,109717,109997,110244,110471,110678,110840,110969,111058,111118,111118,111092,111036,110937,110795,110624,110446,110227,109987,109746,109490,109225,108959,108709,108477,108243,108042,107847,107662,107499,107363,107222,107133,107032,106956,106888,106829,106788,106737,106705,106668,106635,106592,106549,106501,106438,106376,106304,106225,106118,106014,105905,105776,105636,105493,105339,105179,105007,104837,104656,104481,104297,104107,103925,103751,103557,103385,103220,103037,102877,102707,102550,102398,102235
AFG,7752117,7840151,7935996,8039684,8151316,8270992,8398873,8535157,8680097,8833947,8996967,9169406,9351442,9543200,9744772,9956318,10174840,10399936,10637064,10893772,11173654,11475450,11791222,12108963,12412960,12689164,12943093,13171294,13341199,13411060,13356500,13171679,12882518,12537732,12204306,11938204,11736177,11604538,11618008,11868873,12412311,13299016,14485543,15816601,17075728,18110662,18853444,19357126,19737770,20170847,20779957,21606992,22600774,23680871,24726689,25654274,26433058,27100542,27722281,28394806,29185511,30117411,31161378,32269592,33370803,34413603,35383028,36296111,37171922,38041757,38928341,39835428,40754385,41681232,42608714,43531523,44449106,45363560,46275305,47185165,48093576,49000190,49904008,50803985,51698839,52587415,53468940,54342917,55208543,56065157,56912008,57748480,58573847,59387210,60187566,60974108,61746119,62503158,63245020,63971682,64682976,65378498,66057693,66720061,67365070,67992198,68601077,69191273,69762278,70313576,70844694,71355260,71844941,72313405,72760294,73185287,73588196,73968838,74327012,74662577,74975404,75265446,75532727,75777323,75999471,76199343,76377114,76532930,76666941,76779299,76870229,76940011,76989050,77017762,77026666,77016262,76987010,76939414,76874094,76791721,76692976,76578449,76448745,76304426,76146060,75974263,75789679,75593012,75384972,75166360,74937961
AGO,4548021,4616552,4713160,4823330,4935956,5043251,5140910,5228005,5306538,5380718,5454938,5531451,5608499,5679409,5734995,5770573,5781305,5774440,5771973,5803677,5890360,6041239,6248965,6497283,6761623,7023994,7279630,7533814,7790774,8058112,8341290,8640478,8952971,9278104,9614756,9961993,10320116,10689247,11068051,11454784,11848385,12248901,12657361,13075044,13503753,13945205,14400722,14871572,15359600,15866871,16395476,16945753,17519418,18121477,18758138,19433604,20149905,20905360,21695636,22514275,23356247,24220660,25107925,26015786,26941773,27884380,28842482,29816769,30809787,31825299,32866267,33933611,35027340,36148636,37298625,38478222,39688094,40928613,42199937,43501999,44834707,46198246,47592554,49016965,50470553,51952546,53462491,55000286,56566038,58159984,59782166,61432444,63110182,64814409,66543950,68297811,70075424,71876613,73701207,75549153,77420355,79314427,81231007,83169865,85130854,87113726,89118045,91143366,93189506,95256303,97343443,99450570,101576923,103721313,105882258,108058512,110249146,112453653,114671818,116903597,119148755,121406588,123676077,125956109,128245394,130542728,132847445,135158711,137475005,139794548,142116013,144438152,146760684,149084213,151409881,153738331,156069171,158401248,160733332,163063937,165391670,167715391,170034234,172347385,174653998,176953073,179243367,181523387,183791386,186045387,188283132
AIA,5122,5317,5477,5598,5705,5781,5846,5901,5939,5987,6020,6090,6141,6207,6283,6360,6434,6520,6608,6690,6773,6854,6949,7023,7101,7161,7202,7252,7285,7296,7284,7249,7194,7145,7182,7292,7512,7842,8222,8582,8894,9138,9333,9491,9661,9868,10117,10388,10684,10979,11247,11520,11756,11993,12230,12442,12660,12862,13056,13248,13436,13612,13794,13952,14114,14279,14435,14588,14738,14872,15002,15125,15225,15325,15414,15511,15596,15683,15763,15839,15917,15984,16055,16120,16177,16227,16268,16328,16364,16406,16446,16480,16497,16518,16532,16546,16546,16551,16541,16539,16522,16500,16478,16454,16423,16384,16349,16306,16264,16221,16175,16123,16071,16020,15959,15908,15852,15788,15733,15669,15599,15537,15477,15413,15341,15271,15204,15136,15064,14993,14921,14848,14780,14716,14640,14570,14507,14441,14374,14313,14253,14189,14119,14058,14006,13943,13883,13821,13763,13707,13635
ALB,1263164,1287499,1316090,1348113,1382898,1419991,1459115,1500180,1543256,1588506,1636091,1685926,1737675,1790571,1843649,1896175,1947836,1998743,2049214,2099738,2150704,2202186,2254058,2306284,2358852,2411733,2464981,2518685,2572852,2627506,2682697,2737018,2790284,2844867,2904142,2969671,3044201,3124892,3200972,3257913,3286070,3280397,3245887,3195196,3146518,3112923,3098699,3099747,3110699,3122700,3129246,3129701,3126183,3118017,3104893,3086810,3063021,3033993,3002683,2973044,2948029,2928601,2914091,2903788,2896307,2890524,2886427,2884169,2882735,2880913,2877800,2872934,2866378,2858418,2849657,2840468,2830858,2820624,2809863,2798631,2786972,2774952,2762547,2749560,2735797,2721086,2705366,2688717,2671238,2653084,2634385,2615173,2595440,2575257,2554627,2533639,2512295,2490632,2468693,2446493,2424052,2401400,2378560,2355549,2332399,2309096,2285684,2262165,2238517,2214760,2190904,2166920,2142803,2118547,2094105,2069445,2044577,2019457,1994070,1968346,1942264,1915811,1888973,1861740,1834077,1805978,1777448,1748512,1719218,1689607,1659729,1629629,1599339,1568934,1538497,1508106,1477809,1447635,1417672,1388013,1358698,1329787,1301314,1273239,1245594,1218356,1191536,1165114,1139105,1113510,1088338
AND,6198,6693,7251,7859,8533,9231,9984,10778,11614,12495,13410,14378,15379,16407,17466,18542,19646,20760,21886,23053,24275,25571,26885,28232,29515,30705,31782,32769,33744,34825,36063,37498,39115,40854,42706,44593,46520,48459,50433,52452,54508,56666,58882,60974,62676,63860,64363,64318,64140,64367,65390,67344,70048,73180,76250,78871,80995,82682,83860,84461,84454,83748,82427,80770,79213,77993,77295,76997,77008,77146,77265,77354,77460,77576,77685,77773,77851,77887,77900,77918,77927,77948,77959,77965,77977,77974,77966,77961,77944,77909,77860,77799,77705,77599,77468,77318,77132,76923,76687,76416,76123,75792,75434,75050,74648,74207,73767,73289,72791,72296,71784,71281,70762,70242,69739,69223,68746,68267,67804,67360,66936,66536,66159,65807,65474,65172,64897,64647,64424,64223,64045,63878,63738,63620,63508,63420,63335,63256,63183,63128,63062,62993,62931,62873,62802,62743,62670,62605,62537,62481,62406
ARE,69594,67466,69235,72771,76523,79579,81624,82963,84420,87188,92417,100801,112112,125130,138049,149855,159979,169768,182620,203103,234512,277463,330968,394625,467457,548295,637926,735347,835498,931752,1019507,1096602,1164816,1228457,1293970,1366165,1446386,1533526,1627068,1725676,1828437,1937159,2052891,2173135,2294377,2415099,2539121,2671361,2813214,2966029,3134067,3302722,3478769,3711931,4068577,4588222,5300172,6168846,7089486,7917368,8549998,8946778,9141598,9197908,9214182,9262896,9360975,9487206,9630966,9770526,9890400,9991083,10081782,10165150,10245002,10323858,10403136,10481269,10553951,10615252,10661076,10689973,10703925,10706489,10702999,10697397,10690889,10682830,10673299,10661891,10648314,10633575,10618316,10601494,10581510,10557610,10529280,10497975,10467260,10441878,10425284,10418791,10421599,10432405,10448983,10469602,10493977,10522397,10554227,10588795,10625506,10664038,10704115,10745353,10787410,10830006,10872902,10916094,10959871,11004732,11051045,11098845,11148063,11198820,11251205,11305287,11361088,11418566,11477662,11538267,11600276,11663624,11728186,11793803,11860248,11927323,11994874,12062806,12130904,12198948,12266752,12334200,12401127,12467514,12533255,12598285,12662546,12725927,12788342,12849694,12909869
ARG,17037910,17390378,17742980,18094290,18443313,18789415,19132405,19472473,19810165,20146307,20481781,20817270,21153042,21488916,21824427,22159644,22494031,22828872,23168268,23517613,23880564,24259564,24653172,25056475,25462305,25865775,26264681,26661397,27061041,27471046,27896532,28338514,28794550,29262049,29737097,30216284,30698964,31184411,31668939,32148137,32618648,33079002,33529320,33970103,34402669,34828168,35246376,35657438,36063451,36467218,36870796,37275644,37681743,38087866,38491970,38892924,39289876,39684303,40080159,40482786,40895751,41320497,41755188,42196034,42637508,43075416,43508459,43937143,44361150,44780675,45195777,45605823,46010234,46409173,46803051,47192095,47576268,47955216,48328513,48695628,49056162,49409895,49756841,50097099,50430836,50758205,51079178,51393649,51701498,52002578,52296794,52584051,52864364,53137881,53404785,53665206,53919126,54166413,54406965,54640630,54867248,55086768,55299023,55503793,55700728,55889565,56070176,56242481,56406394,56561853,56708814,56847253,56977145,57098357,57210749,57314271,57408897,57494788,57572257,57641780,57703704,57758259,57805534,57845580,57878439,57904134,57922807,57934717,57940263,57939937,57934113,57923031,57906754,57885372,57858886,57827311,57790791,57749441,57703289,57652294,57596459,57535899,57470723,57401098,57327217,57249230,57167304,57081572,56992142,56899084,56802493
ARM,1353502,1381870,1418275,1461425,1510178,1563512,1620594,1680713,1743306,1807908,1874119,1941498,2009524,2077583,2145004,2211316,2276038,2339133,2401142,2462938,2525067,2587716,2650484,2712780,2773750,2832752,2889583,2944375,2997419,3049107,3099759,3148096,3193696,3238592,3285593,3335935,3392264,3451947,3504667,3536473,3538164,3505249,3442820,3363111,3283664,3217349,3168213,3133081,3108691,3089020,3069597,3050686,3033976,3017938,3000715,2981262,2958301,2932615,2907615,2888094,2877314,2876536,2884239,2897593,2912403,2925559,2936147,2944789,2951741,2957728,2963234,2968128,2971969,2974770,2976514,2977276,2977011,2975750,2973590,2970644,2967010,2962738,2957855,2952454,2946625,2940413,2933889,2927058,2919960,2912653,2905147,2897468,2889618,2881548,2873202,2864548,2855564,2846255,2836584,2826548,2816114,2805257,2794009,2782333,2770225,2757702,2744751,2731363,2717559,2703358,2688765,2673774,2658432,2642750,2626735,2610425,2593843,2576997,2559931,2542680,2525291,2507780,2490180,2472534,2454890,2437285,2419746,2402280,2384948,2367746,2350729,2333895,2317238,2300798,2284551,2268522,2252709,2237094,2221639,2206314,2191077,2175897,2160760,2145662,2130563,2115470,2100329,2085132,2069811,2054322,2038613
ASM,18941,19287,19546,19699,19758,19748,19712,19671,19690,19827,20127,20605,21246,22029,22850,23675,24473,25235,25980,26698,27362,27982,28564,29103,29595,30045,30455,30834,31262,31842,32648,33697,34969,36413,37946,39521,41114,42741,44346,45894,47351,48682,49900,51025,52099,53158,54209,55227,56180,57049,57816,58496,59077,59495,59684,59557,59109,58367,57490,56675,56084,55755,55669,55717,55791,55806,55739,55617,55461,55312,55197,55103,55032,54982,54930,54896,54850,54820,54793,54759,54734,54689,54651,54609,54565,54517,54463,54426,54371,54314,54262,54189,54122,54046,53988,53916,53857,53793,53732,53672,53585,53496,53390,53270,53143,53015,52881,52731,52582,52429,52249,52082,51897,51702,51492,51280,51059,50821,50577,50299,50028,49731,49423,49105,48765,48409,48030,47647,47244,46832,46394,45948,45492,45028,44541,44057,43562,43053,42550,42042,41507,40985,40464,39934,39399,38857,38322,37782,37241,36699,36156
