disease,Country Code,scenario,ConsiderTC,ConsiderMB,informal,discount,GDPloss,tax,pc_loss
Diabetes mellitus,AGO,lower,0,1,0.0,0.02,2.768399576762634,0.0005589559596117,52.14098848283704
Diabetes mellitus,ALB,lower,0,1,0.0,0.02,0.7978107897197113,0.0005977958693966,296.10234340541217
Diabetes mellitus,ARG,lower,0,1,0.0,0.02,12.803088677897582,0.0005584268319994,253.54089349762148
Diabetes mellitus,ARM,lower,0,1,0.0,0.02,1.4609838733246727,0.0009667263282632,499.66276801693664
Diabetes mellitus,ATG,lower,0,1,0.0,0.02,,,
Diabetes mellitus,AUS,lower,0,1,0.0,0.02,24.90921103002344,0.0006121408466706,849.6786439473601
Diabetes mellitus,AUT,lower,0,1,0.0,0.02,6.232624600504517,0.0004661748573409,680.408748546161
Diabetes mellitus,AZE,lower,0,1,0.0,0.02,2.936323596977234,0.0007774291960746,271.3910344899772
Diabetes mellitus,BDI,lower,0,1,0.0,0.02,0.0926035833022565,0.0003634722223034,5.093869243140091
Diabetes mellitus,BEL,lower,0,1,0.0,0.02,8.699890870343872,0.000544695750097,725.9717053451317
Diabetes mellitus,BEN,lower,0,1,0.0,0.02,0.9335204884450684,0.000451563573892,52.28197013867609
Diabetes mellitus,BFA,lower,0,1,0.0,0.02,1.3930787328051757,0.0005900777721151,44.24185131472717
Diabetes mellitus,BGD,lower,0,1,0.0,0.02,36.723176885946046,0.0006723779267396,201.4414537474616
Diabetes mellitus,BGR,lower,0,1,0.0,0.02,7.488324865693512,0.0013800727550915,1217.33912059905
Diabetes mellitus,BHR,lower,0,1,0.0,0.02,1.3603933530317536,0.000588158210757,654.3339579668603
Diabetes mellitus,BHS,lower,0,1,0.0,0.02,0.5424470572785931,0.0016626050531798,1244.9139017863351
Diabetes mellitus,BIH,lower,0,1,0.0,0.02,2.1654539558499373,0.0013079539074165,718.6883679151589
Diabetes mellitus,BLR,lower,0,1,0.0,0.02,1.372099792768982,0.0003275104318484,151.00883648385357
