Region,WBCountry,Economic cost in millions of 2017 INT$,Percentage of total GDP in 2020-2050,Per capita loss in 2017 INT $
East Asia & Pacific,American Samoa*,111(82-152),0.472(0.349-0.644),"2,041(1,508-2,787)"
East Asia & Pacific,Australia,"72,053(57,383-91,170)",0.177(0.141-0.224),"2,458(1,957-3,110)"
East Asia & Pacific,Brunei Darussalam,"2,368(1,548-3,473)",0.315(0.206-0.462),"4,977(3,254-7,299)"
East Asia & Pacific,Cambodia,"8,314(5,505-12,275)",0.206(0.137-0.305),425(281-628)
East Asia & Pacific,China,"1,596,436(1,252,663-2,041,408)",0.163(0.128-0.208),"1,103(866-1,411)"
East Asia & Pacific,Fiji,"2,052(1,249-3,270)",0.632(0.385-1.008),"2,068(1,259-3,294)"
East Asia & Pacific,Guam*,516(369-716),0.249(0.178-0.345),"2,804(2,006-3,891)"
East Asia & Pacific,Indonesia,"458,610(309,003-656,025)",0.314(0.211-0.449),"1,493(1,006-2,136)"
East Asia & Pacific,Japan,"251,143(197,907-316,459)",0.195(0.154-0.245),"2,150(1,694-2,709)"
East Asia & Pacific,Kiribati*,47(33-66),0.548(0.385-0.760),320(225-443)
East Asia & Pacific,"Korea, Dem. People's Rep.*","2,253(1,603-3,144)",0.157(0.112-0.220),85(60-118)
East Asia & Pacific,"Korea, Rep.","181,335(143,157-234,091)",0.247(0.195-0.318),"3,621(2,859-4,675)"
East Asia & Pacific,Lao PDR,"5,049(2,983-7,948)",0.181(0.107-0.285),591(349-931)
East Asia & Pacific,Malaysia,"60,918(40,996-89,078)",0.166(0.112-0.243),"1,640(1,103-2,398)"
East Asia & Pacific,Marshall Islands*,34(23-48),0.456(0.315-0.644),500(346-707)
East Asia & Pacific,"Micronesia, Fed. Sts.*",63(37-98),0.595(0.350-0.928),483(284-754)
East Asia & Pacific,Mongolia,"1,138(763-1,681)",0.070(0.047-0.103),292(196-432)
East Asia & Pacific,Myanmar*,"25,390(20,625-32,528)",0.241(0.196-0.309),427(347-548)
East Asia & Pacific,Nauru*,15(10-23),0.355(0.240-0.541),"1,380(934-2,105)"
East Asia & Pacific,New Zealand,"13,803(10,590-17,657)",0.181(0.139-0.231),"2,615(2,006-3,345)"
East Asia & Pacific,Northern Mariana Islands*,163(119-222),0.367(0.267-0.499),"2,657(1,938-3,615)"
East Asia & Pacific,Palau*,50(35-68),0.697(0.494-0.959),"2,714(1,923-3,734)"
East Asia & Pacific,Papua New Guinea*,"4,174(3,007-5,847)",0.309(0.223-0.433),360(259-504)
