Region,country,WBCountry,totalloss,pc_loss,tax %
East Asia & Pacific,American Samoa,American Samoa,974(864-1103),17888(15874-20251),4.13(3.67-4.68)
East Asia & Pacific,Australia,Australia,543755(475390-615786),18548(16216-21005),1.34(1.17-1.51)
East Asia & Pacific,Brunei Darussalam,Brunei Darussalam,19725(16747-23287),41458(35197-48945),2.62(2.23-3.09)
East Asia & Pacific,Cambodia,Cambodia,55584(46567-66477),2842(2381-3399),1.38(1.16-1.65)
East Asia & Pacific,China,China,12518955(10983948-14422879),8652(7591-9968),1.28(1.12-1.47)
East Asia & Pacific,Democratic People's Republic of Korea,"Korea, Dem. People's Rep.",20383(17213-24008),767(647-903),1.42(1.2-1.68)
East Asia & Pacific,Fiji,Fiji,13457(11497-15775),13557(11583-15893),4.15(3.54-4.86)
East Asia & Pacific,Guam,Guam,4522(3919-5253),24577(21301-28547),2.18(1.89-2.53)
East Asia & Pacific,Indonesia,Indonesia,1526744(1264028-1846941),4972(4116-6015),1.04(0.86-1.26)
East Asia & Pacific,Japan,Japan,2081098(1826680-2386658),17815(15637-20430),1.61(1.42-1.85)
East Asia & Pacific,Kiribati,Kiribati,205(178-238),1383(1199-1605),2.37(2.05-2.75)
East Asia & Pacific,Lao People's Democratic Republic,Lao PDR,34677(28668-42060),4061(3357-4926),1.24(1.03-1.51)
East Asia & Pacific,Malaysia,Malaysia,590706(489700-699152),15899(13181-18818),1.61(1.34-1.91)
East Asia & Pacific,Marshall Islands,Marshall Islands,265(232-305),3907(3427-4496),3.56(3.12-4.1)
East Asia & Pacific,Micronesia (Federated States of),"Micronesia, Fed. Sts.",258(224-298),1992(1730-2303),2.45(2.13-2.84)
East Asia & Pacific,Mongolia,Mongolia,8297(7049-9912),2131(1810-2546),0.51(0.43-0.61)
East Asia & Pacific,Myanmar,Myanmar,150111(130489-173339),2527(2197-2918),1.43(1.24-1.65)
East Asia & Pacific,Nauru,Nauru,74(63-86),6712(5747-7860),1.73(1.48-2.02)
East Asia & Pacific,New Zealand,New Zealand,102967(89893-117609),19508(17031-22282),1.35(1.18-1.54)
East Asia & Pacific,Northern Mariana Islands,Northern Mariana Islands,1407(1228-1614),22946(20019-26315),3.17(2.76-3.63)
East Asia & Pacific,Palau,Palau,280(248-320),15326(13554-17498),3.93(3.48-4.49)
East Asia & Pacific,Papua New Guinea,Papua New Guinea,23892(20464-27902),2061(1765-2407),1.77(1.52-2.07)
East Asia & Pacific,Philippines,Philippines,528017(454161-605055),4095(3523-4693),1.13(0.97-1.29)
East Asia & Pacific,Republic of Korea,"Korea, Rep.",1497528(1235511-1780994),29906(24673-35567),2.04(1.68-2.42)
East Asia & Pacific,Samoa,Samoa,854(738-988),3673(3177-4253),2.16(1.87-2.5)
East Asia & Pacific,Singapore,Singapore,245385(217042-281992),39012(34506-44832),1.32(1.16-1.51)
East Asia & Pacific,Solomon Islands,Solomon Islands,954(823-1114),981(846-1145),1.75(1.51-2.05)
East Asia & Pacific,Taiwan (Province of China),,823708(735876-924591),34894(31173-39168),2.01(1.8-2.26)
East Asia & Pacific,Thailand,Thailand,786263(683934-909485),11365(9886-13147),1.9(1.65-2.2)
East Asia & Pacific,Timor-Leste,Timor-Leste,1252(1049-1487),743(623-882),0.92(0.77-1.1)
East Asia & Pacific,Tonga,Tonga,432(376-498),3583(3119-4129),2.13(1.85-2.46)
East Asia & Pacific,Tuvalu,Tuvalu,68(59-78),4888(4241-5653),2.59(2.25-3.0)
East Asia & Pacific,Vanuatu,Vanuatu,550(473-640),1287(1107-1498),1.85(1.6-2.16)
East Asia & Pacific,Viet Nam,Vietnam,954860(804303-1127025),9070(7640-10705),1.9(1.6-2.24)
Europe & Central Asia,Albania,Albania,16412(13855-19287),6091(5142-7158),1.23(1.04-1.45)
Europe & Central Asia,Andorra,Andorra,2238(1918-2623),28844(24715-33809),1.88(1.61-2.2)
Europe & Central Asia,Armenia,Armenia,45084(40391-50444),15419(13814-17252),2.98(2.67-3.34)
Europe & Central Asia,Austria,Austria,275178(235196-310299),30041(25676-33875),2.06(1.76-2.32)
Europe & Central Asia,Azerbaijan,Azerbaijan,63403(53912-74847),5860(4983-6918),1.68(1.43-1.98)
Europe & Central Asia,Belarus,Belarus,32922(28063-37971),3623(3089-4179),0.79(0.67-0.91)
Europe & Central Asia,Belgium,Belgium,380711(332212-435640),31769(27722-36352),2.38(2.08-2.73)
Europe & Central Asia,Bosnia and Herzegovina,Bosnia and Herzegovina,70279(60728-80842),23325(20155-26830),4.24(3.67-4.88)
Europe & Central Asia,Bulgaria,Bulgaria,115636(95454-143542),18798(15518-23335),2.13(1.76-2.65)
Europe & Central Asia,Croatia,Croatia,126837(111655-144837),33841(29791-38644),3.31(2.92-3.78)
Europe & Central Asia,Cyprus,Cyprus,29331(26023-32569),22657(20101-25158),2.04(1.81-2.26)
