Region,country,WBCountry,totalloss,pc_loss,tax %
East Asia & Pacific,American Samoa,American Samoa,2860(2534-3236),52522(46549-59431),8.69(7.7-9.83)
East Asia & Pacific,Australia,Australia,1465010(1280034-1651798),49973(43663-56345),2.6(2.27-2.93)
East Asia & Pacific,Brunei Darussalam,Brunei Darussalam,56383(48507-65550),118504(101952-137771),5.55(4.78-6.46)
East Asia & Pacific,Cambodia,Cambodia,171044(145277-201241),8746(7428-10290),2.87(2.44-3.38)
East Asia & Pacific,China,China,34885711(30516927-40307281),24109(21090-27856),2.52(2.2-2.91)
East Asia & Pacific,Democratic People's Republic of Korea,"Korea, Dem. People's Rep.",57899(49202-67576),2178(1851-2542),2.89(2.46-3.38)
East Asia & Pacific,Fiji,Fiji,38292(33434-43681),38578(33683-44007),8.42(7.35-9.6)
East Asia & Pacific,Guam,Guam,13017(11319-15035),70744(61519-81712),4.49(3.91-5.19)
East Asia & Pacific,Indonesia,Indonesia,4201063(3572519-4968262),13681(11634-16179),1.99(1.7-2.36)
East Asia & Pacific,Japan,Japan,5785031(5108950-6593658),49521(43733-56443),3.32(2.93-3.79)
East Asia & Pacific,Kiribati,Kiribati,589(512-680),3970(3451-4585),4.9(4.26-5.65)
East Asia & Pacific,Lao People's Democratic Republic,Lao PDR,107465(90784-127275),12586(10632-14906),2.64(2.23-3.12)
East Asia & Pacific,Malaysia,Malaysia,1799947(1493863-2114845),48447(40208-56922),3.42(2.84-4.02)
East Asia & Pacific,Marshall Islands,Marshall Islands,774(679-890),11416(10010-13121),7.45(6.53-8.56)
East Asia & Pacific,Micronesia (Federated States of),"Micronesia, Fed. Sts.",731(637-841),5642(4913-6494),5.07(4.42-5.84)
East Asia & Pacific,Mongolia,Mongolia,24654(21120-29164),6332(5424-7490),1.06(0.91-1.25)
East Asia & Pacific,Myanmar,Myanmar,444490(389058-508206),7482(6549-8555),2.9(2.54-3.32)
East Asia & Pacific,Nauru,Nauru,205(177-239),18757(16140-21800),3.53(3.04-4.1)
East Asia & Pacific,New Zealand,New Zealand,291190(255970-330463),55168(48495-62608),2.72(2.39-3.08)
East Asia & Pacific,Northern Mariana Islands,Northern Mariana Islands,4098(3577-4688),66817(58321-76434),6.6(5.76-7.55)
East Asia & Pacific,Palau,Palau,798(705-911),43703(38611-49864),8.26(7.3-9.42)
East Asia & Pacific,Papua New Guinea,Papua New Guinea,69182(59538-80197),5967(5135-6917),3.63(3.12-4.2)
East Asia & Pacific,Philippines,Philippines,1471578(1274344-1679588),11414(9884-13027),2.14(1.85-2.44)
East Asia & Pacific,Republic of Korea,"Korea, Rep.",4310936(3534283-5126191),86090(70580-102371),4.21(3.45-5.01)
East Asia & Pacific,Samoa,Samoa,2461(2135-2832),10588(9189-12187),4.45(3.87-5.13)
East Asia & Pacific,Singapore,Singapore,701042(623545-799533),111454(99133-127113),2.69(2.39-3.06)
East Asia & Pacific,Solomon Islands,Solomon Islands,2739(2376-3174),2816(2443-3264),3.59(3.11-4.16)
East Asia & Pacific,Taiwan (Province of China),,2365097(2122877-2634206),100191(89930-111591),4.14(3.71-4.61)
East Asia & Pacific,Thailand,Thailand,2419932(2112198-2786279),34980(30532-40276),4.16(3.63-4.79)
East Asia & Pacific,Timor-Leste,Timor-Leste,3406(2882-3993),2021(1711-2370),1.85(1.57-2.17)
East Asia & Pacific,Tonga,Tonga,1229(1073-1407),10194(8906-11675),4.39(3.83-5.02)
East Asia & Pacific,Tuvalu,Tuvalu,206(179-237),14814(12876-17060),5.37(4.66-6.18)
East Asia & Pacific,Vanuatu,Vanuatu,1584(1369-1831),3707(3204-4285),3.8(3.29-4.39)
East Asia & Pacific,Viet Nam,Vietnam,2950122(2531193-3419176),28022(24043-32477),3.96(3.4-4.59)
Europe & Central Asia,Albania,Albania,48720(41606-56492),18082(15442-20967),2.61(2.23-3.02)
Europe & Central Asia,Andorra,Andorra,6412(5518-7466),82642(71119-96225),3.85(3.32-4.49)
Europe & Central Asia,Armenia,Armenia,141366(127350-157059),48348(43554-53715),6.53(5.89-7.26)
Europe & Central Asia,Austria,Austria,797338(676334-899604),87044(73835-98209),4.35(3.69-4.9)
Europe & Central Asia,Azerbaijan,Azerbaijan,187164(160576-218354),17299(14841-20181),3.67(3.15-4.28)
Europe & Central Asia,Belarus,Belarus,92197(78858-105479),10147(8679-11609),1.65(1.41-1.89)
Europe & Central Asia,Belgium,Belgium,1112241(969153-1271866),92812(80872-106132),5.09(4.43-5.82)
Europe & Central Asia,Bosnia and Herzegovina,Bosnia and Herzegovina,211652(184024-241300),70245(61075-80085),9.13(7.94-10.41)
Europe & Central Asia,Bulgaria,Bulgaria,304339(250832-377753),49475(40777-61409),4.0(3.3-4.97)
Europe & Central Asia,Croatia,Croatia,393305(348093-446357),104937(92874-119092),7.33(6.49-8.32)
Europe & Central Asia,Cyprus,Cyprus,86573(76371-96200),66874(58994-74311),4.18(3.69-4.65)
Europe & Central Asia,Czechia,Czech Republic,1623484(1403292-1854001),152145(131510-173748),7.85(6.79-8.97)
Europe & Central Asia,Denmark,Denmark,565566(500339-631167),93365(82597-104195),4.02(3.55-4.48)
Europe & Central Asia,Estonia,Estonia,59466(51270-68878),47653(41085-55195),2.4(2.07-2.78)
Europe & Central Asia,Finland,Finland,591607(516199-662775),106568(92984-119388),5.79(5.05-6.49)
