location,GDP 2020,POP 2020,DALY 2020,DALY 2050
East Asia & Pacific,40846 (32.7%),2381 (30.6%),38 (28.6%),80 (24.9%)
Europe & Central Asia,30852 (24.7%),924 (11.9%),19 (14.2%),31 (9.6%)
Latin America & Caribbean,9458 (7.6%),652 (8.4%),17 (12.8%),44 (13.8%)
Middle East & North Africa,7088 (5.7%),459 (5.9%),7 (5.4%),28 (8.6%)
North America,21621 (17.3%),369 (4.7%),10 (7.4%),15 (4.7%)
South Asia,10796 (8.6%),1856 (23.9%),31 (23.3%),91 (28.4%)
Sub-Saharan Africa,4220 (3.4%),1136 (14.6%),11 (8.4%),32 (9.9%)
High income,57723 (46.3%),1204 (15.5%),28 (21.0%),45 (14.2%)
Low income,1296 (1.0%),665 (8.6%),6 (4.6%),20 (6.3%)
Lower middle income,22506 (18.1%),3324 (42.9%),56 (41.6%),167 (52.6%)
Upper middle income,43088 (34.6%),2555 (33.0%),44 (32.8%),86 (26.9%)
