Region,WBCountry,Economic cost in millions of 2017 INT$,Percentage of total GDP in 2020-2050,Per capita loss in 2017 INT $
East Asia & Pacific,American Samoa*,168(124-230),0.511(0.378-0.699),"3,090(2,284-4,225)"
East Asia & Pacific,Australia,"108,830(86,758-137,675)",0.193(0.154-0.244),"3,712(2,959-4,696)"
East Asia & Pacific,Brunei Darussalam,"3,463(2,257-5,094)",0.341(0.222-0.502),"7,279(4,745-10,706)"
East Asia & Pacific,Cambodia,"13,108(8,672-19,368)",0.220(0.146-0.325),670(443-990)
East Asia & Pacific,China,"2,425,796(1,901,335-3,106,548)",0.175(0.137-0.224),"1,676(1,314-2,147)"
East Asia & Pacific,Fiji,"3,033(1,835-4,866)",0.667(0.403-1.070),"3,056(1,848-4,903)"
East Asia & Pacific,Guam*,"782(559-1,085)",0.270(0.193-0.375),"4,248(3,039-5,900)"
East Asia & Pacific,Indonesia,"714,692(480,016-1,024,880)",0.339(0.228-0.487),"2,327(1,563-3,338)"
East Asia & Pacific,Japan,"373,249(293,901-470,651)",0.214(0.169-0.270),"3,195(2,516-4,029)"
East Asia & Pacific,Kiribati*,71(50-99),0.594(0.417-0.825),482(338-669)
East Asia & Pacific,"Korea, Dem. People's Rep.*","3,415(2,429-4,768)",0.171(0.121-0.238),128(91-179)
East Asia & Pacific,"Korea, Rep.","274,701(216,765-354,930)",0.268(0.212-0.347),"5,486(4,329-7,088)"
East Asia & Pacific,Lao PDR,"7,889(4,658-12,426)",0.194(0.114-0.305),"924(545-1,455)"
East Asia & Pacific,Malaysia,"94,588(63,554-138,587)",0.180(0.121-0.263),"2,546(1,711-3,730)"
East Asia & Pacific,Marshall Islands*,51(36-73),0.494(0.342-0.699),"757(524-1,071)"
East Asia & Pacific,"Micronesia, Fed. Sts.*",93(55-145),0.645(0.380-1.007),"717(422-1,120)"
East Asia & Pacific,Mongolia,"1,749(1,174-2,585)",0.075(0.050-0.111),449(301-664)
East Asia & Pacific,Myanmar*,"40,090(32,562-51,409)",0.262(0.213-0.336),675(548-865)
East Asia & Pacific,Nauru*,22(15-34),0.385(0.260-0.588),"2,044(1,383-3,122)"
East Asia & Pacific,New Zealand,"21,020(16,114-26,911)",0.196(0.150-0.251),"3,982(3,053-5,098)"
East Asia & Pacific,Northern Mariana Islands*,247(180-336),0.397(0.290-0.541),"4,024(2,936-5,481)"
East Asia & Pacific,Palau*,73(52-101),0.755(0.535-1.040),"3,997(2,833-5,506)"
East Asia & Pacific,Papua New Guinea*,"6,401(4,611-8,975)",0.335(0.242-0.470),552(398-774)
