Country Code,disease
AFG,Diabetes mellitus
AGO,Diabetes mellitus
ALB,Diabetes mellitus
AND,Diabetes mellitus
ARE,Diabetes mellitus
ARG,Diabetes mellitus
ARM,Diabetes mellitus
ASM,Diabetes mellitus
ATG,Diabetes mellitus
AUS,Diabetes mellitus
AUT,Diabetes mellitus
AZE,Diabetes mellitus
BDI,Diabetes mellitus
BEL,Diabetes mellitus
BEN,Diabetes mellitus
BFA,Diabetes mellitus
BGD,Diabetes mellitus
BGR,Diabetes mellitus
BHR,Diabetes mellitus
BHS,Diabetes mellitus
BIH,Diabetes mellitus
BLR,Diabetes mellitus
BLZ,Diabetes mellitus
BMU,Diabetes mellitus
BOL,Diabetes mellitus
BRA,Diabetes mellitus
BRB,Diabetes mellitus
BRN,Diabetes mellitus
BTN,Diabetes mellitus
BWA,Diabetes mellitus
CAF,Diabetes mellitus
CAN,Diabetes mellitus
CHE,Diabetes mellitus
CHL,Diabetes mellitus
CHN,Diabetes mellitus
CIV,Diabetes mellitus
CMR,Diabetes mellitus
COD,Diabetes mellitus
COG,Diabetes mellitus
COK,Diabetes mellitus
COL,Diabetes mellitus
COM,Diabetes mellitus
CPV,Diabetes mellitus
CRI,Diabetes mellitus
CUB,Diabetes mellitus
CYP,Diabetes mellitus
CZE,Diabetes mellitus
DEU,Diabetes mellitus
DJI,Diabetes mellitus
DMA,Diabetes mellitus
DNK,Diabetes mellitus
DOM,Diabetes mellitus
DZA,Diabetes mellitus
ECU,Diabetes mellitus
EGY,Diabetes mellitus
ERI,Diabetes mellitus
ESP,Diabetes mellitus
EST,Diabetes mellitus
ETH,Diabetes mellitus
FIN,Diabetes mellitus
FJI,Diabetes mellitus
FRA,Diabetes mellitus
FSM,Diabetes mellitus
GAB,Diabetes mellitus
GBR,Diabetes mellitus
GEO,Diabetes mellitus
GHA,Diabetes mellitus
GIN,Diabetes mellitus
GMB,Diabetes mellitus
GNB,Diabetes mellitus
GNQ,Diabetes mellitus
GRC,Diabetes mellitus
GRD,Diabetes mellitus
GRL,Diabetes mellitus
GTM,Diabetes mellitus
GUM,Diabetes mellitus
GUY,Diabetes mellitus
HND,Diabetes mellitus
HRV,Diabetes mellitus
HTI,Diabetes mellitus
HUN,Diabetes mellitus
IDN,Diabetes mellitus
IND,Diabetes mellitus
IRL,Diabetes mellitus
IRN,Diabetes mellitus
IRQ,Diabetes mellitus
ISL,Diabetes mellitus
ISR,Diabetes mellitus
ITA,Diabetes mellitus
JAM,Diabetes mellitus
JOR,Diabetes mellitus
JPN,Diabetes mellitus
KAZ,Diabetes mellitus
KEN,Diabetes mellitus
KGZ,Diabetes mellitus
KHM,Diabetes mellitus
KIR,Diabetes mellitus
KNA,Diabetes mellitus
KOR,Diabetes mellitus
KWT,Diabetes mellitus
LAO,Diabetes mellitus
LBN,Diabetes mellitus
LBR,Diabetes mellitus
LBY,Diabetes mellitus
LCA,Diabetes mellitus
LKA,Diabetes mellitus
LSO,Diabetes mellitus
LTU,Diabetes mellitus
LUX,Diabetes mellitus
LVA,Diabetes mellitus
MAR,Diabetes mellitus
MCO,Diabetes mellitus
MDA,Diabetes mellitus
MDG,Diabetes mellitus
MDV,Diabetes mellitus
MEX,Diabetes mellitus
MHL,Diabetes mellitus
MKD,Diabetes mellitus
MLI,Diabetes mellitus
MLT,Diabetes mellitus
MMR,Diabetes mellitus
MNE,Diabetes mellitus
MNG,Diabetes mellitus
MNP,Diabetes mellitus
MOZ,Diabetes mellitus
MRT,Diabetes mellitus
MUS,Diabetes mellitus
MWI,Diabetes mellitus
MYS,Diabetes mellitus
NAM,Diabetes mellitus
NER,Diabetes mellitus
NGA,Diabetes mellitus
NIC,Diabetes mellitus
NIU,Diabetes mellitus
NLD,Diabetes mellitus
NOR,Diabetes mellitus
NPL,Diabetes mellitus
NRU,Diabetes mellitus
NZL,Diabetes mellitus
OMN,Diabetes mellitus
PAK,Diabetes mellitus
PAN,Diabetes mellitus
PER,Diabetes mellitus
PHL,Diabetes mellitus
PLW,Diabetes mellitus
PNG,Diabetes mellitus
POL,Diabetes mellitus
PRI,Diabetes mellitus
PRK,Diabetes mellitus
PRT,Diabetes mellitus
PRY,Diabetes mellitus
PSE,Diabetes mellitus
QAT,Diabetes mellitus
ROU,Diabetes mellitus
RUS,Diabetes mellitus
RWA,Diabetes mellitus
SAU,Diabetes mellitus
SDN,Diabetes mellitus
SEN,Diabetes mellitus
SGP,Diabetes mellitus
SLB,Diabetes mellitus
SLE,Diabetes mellitus
SLV,Diabetes mellitus
SMR,Diabetes mellitus
SOM,Diabetes mellitus
SRB,Diabetes mellitus
SSD,Diabetes mellitus
STP,Diabetes mellitus
SUR,Diabetes mellitus
SVK,Diabetes mellitus
SVN,Diabetes mellitus
SWE,Diabetes mellitus
SWZ,Diabetes mellitus
SYC,Diabetes mellitus
SYR,Diabetes mellitus
TCD,Diabetes mellitus
TGO,Diabetes mellitus
THA,Diabetes mellitus
TJK,Diabetes mellitus
TKL,Diabetes mellitus
TKM,Diabetes mellitus
TLS,Diabetes mellitus
TON,Diabetes mellitus
TTO,Diabetes mellitus
TUN,Diabetes mellitus
TUR,Diabetes mellitus
TUV,Diabetes mellitus
TWN,Diabetes mellitus
TZA,Diabetes mellitus
UGA,Diabetes mellitus
UKR,Diabetes mellitus
URY,Diabetes mellitus
USA,Diabetes mellitus
UZB,Diabetes mellitus
VCT,Diabetes mellitus
VEN,Diabetes mellitus
VIR,Diabetes mellitus
VNM,Diabetes mellitus
VUT,Diabetes mellitus
WSM,Diabetes mellitus
YEM,Diabetes mellitus
ZAF,Diabetes mellitus
ZMB,Diabetes mellitus
ZWE,Diabetes mellitus
