Region,country,WBCountry,totalloss,pc_loss,tax %
East Asia & Pacific,American Samoa,American Samoa,1366(1204-1555),25089(22107-28557),4.15(3.66-4.73)
East Asia & Pacific,Australia,Australia,804621(704284-918101),27446(24024-31317),1.43(1.25-1.63)
East Asia & Pacific,Brunei Darussalam,Brunei Darussalam,32758(27669-38948),68850(58154-81859),3.23(2.72-3.84)
East Asia & Pacific,Cambodia,Cambodia,100695(84332-120345),5149(4312-6153),1.69(1.42-2.02)
East Asia & Pacific,China,China,21550768(18621103-25081671),14894(12869-17334),1.56(1.34-1.81)
East Asia & Pacific,Democratic People's Republic of Korea,"Korea, Dem. People's Rep.",33568(28267-39608),1263(1063-1490),1.68(1.41-1.98)
East Asia & Pacific,Fiji,Fiji,25130(21381-29336),25318(21540-29555),5.53(4.7-6.45)
East Asia & Pacific,Guam,Guam,6984(6020-8136),37958(32718-44218),2.41(2.08-2.81)
East Asia & Pacific,Indonesia,Indonesia,2650985(2207933-3185914),8633(7190-10375),1.26(1.05-1.51)
East Asia & Pacific,Japan,Japan,2863034(2515568-3266904),24508(21534-27965),1.64(1.44-1.88)
East Asia & Pacific,Kiribati,Kiribati,311(268-362),2098(1809-2442),2.59(2.23-3.01)
East Asia & Pacific,Lao People's Democratic Republic,Lao PDR,64315(53038-78014),7532(6212-9137),1.58(1.3-1.91)
East Asia & Pacific,Malaysia,Malaysia,986110(802078-1187238),26542(21588-31955),1.87(1.52-2.26)
East Asia & Pacific,Marshall Islands,Marshall Islands,380(331-439),5604(4887-6469),3.66(3.19-4.22)
East Asia & Pacific,Micronesia (Federated States of),"Micronesia, Fed. Sts.",384(332-445),2963(2560-3438),2.66(2.3-3.09)
East Asia & Pacific,Mongolia,Mongolia,16350(13850-19526),4199(3557-5015),0.7(0.6-0.84)
East Asia & Pacific,Myanmar,Myanmar,257561(222308-298843),4336(3742-5031),1.68(1.45-1.95)
East Asia & Pacific,Nauru,Nauru,115(98-135),10501(8952-12324),1.98(1.69-2.32)
East Asia & Pacific,New Zealand,New Zealand,150994(131884-172378),28607(24986-32658),1.41(1.23-1.61)
East Asia & Pacific,Northern Mariana Islands,Northern Mariana Islands,2055(1783-2366),33504(29074-38579),3.31(2.87-3.81)
East Asia & Pacific,Palau,Palau,385(338-441),21065(18504-24152),3.98(3.5-4.56)
East Asia & Pacific,Papua New Guinea,Papua New Guinea,38550(32876-45136),3325(2836-3893),2.02(1.72-2.37)
East Asia & Pacific,Philippines,Philippines,935192(805327-1072767),7254(6246-8321),1.36(1.17-1.56)
East Asia & Pacific,Republic of Korea,"Korea, Rep.",2122382(1740461-2559335),42384(34757-51111),2.07(1.7-2.5)
East Asia & Pacific,Samoa,Samoa,1322(1138-1536),5690(4896-6610),2.39(2.06-2.78)
East Asia & Pacific,Singapore,Singapore,379378(331771-437165),60315(52746-69502),1.45(1.27-1.68)
East Asia & Pacific,Solomon Islands,Solomon Islands,1529(1312-1790),1572(1350-1841),2.0(1.72-2.34)
East Asia & Pacific,Taiwan (Province of China),,1287602(1138664-1457396),54546(48236-61739),2.25(1.99-2.55)
East Asia & Pacific,Thailand,Thailand,1186174(1028876-1372151),17146(14872-19835),2.04(1.77-2.36)
East Asia & Pacific,Timor-Leste,Timor-Leste,2137(1786-2542),1268(1060-1508),1.16(0.97-1.38)
East Asia & Pacific,Tonga,Tonga,662(573-766),5493(4752-6356),2.36(2.04-2.74)
East Asia & Pacific,Tuvalu,Tuvalu,107(92-124),7704(6649-8938),2.79(2.41-3.24)
East Asia & Pacific,Vanuatu,Vanuatu,875(749-1022),2048(1754-2392),2.1(1.8-2.45)
East Asia & Pacific,Viet Nam,Vietnam,1459690(1234864-1724604),13865(11729-16381),1.96(1.66-2.32)
Europe & Central Asia,Albania,Albania,24413(20618-28713),9061(7652-10657),1.31(1.1-1.54)
Europe & Central Asia,Andorra,Andorra,3535(3016-4151),45557(38872-53499),2.12(1.81-2.5)
Europe & Central Asia,Armenia,Armenia,79668(69677-89695),27247(23830-30676),3.68(3.22-4.15)
Europe & Central Asia,Austria,Austria,394770(334704-448913),43097(36539-49007),2.15(1.82-2.45)
Europe & Central Asia,Azerbaijan,Azerbaijan,112140(94225-133277),10365(8709-12318),2.2(1.85-2.62)
Europe & Central Asia,Belarus,Belarus,50813(42704-59427),5592(4700-6540),0.91(0.76-1.06)
Europe & Central Asia,Belgium,Belgium,551117(478438-633070),45989(39924-52827),2.52(2.19-2.9)
Europe & Central Asia,Bosnia and Herzegovina,Bosnia and Herzegovina,102105(87447-118353),33887(29023-39280),4.41(3.77-5.11)
Europe & Central Asia,Bulgaria,Bulgaria,171096(141955-209312),27814(23077-34027),2.25(1.87-2.75)
Europe & Central Asia,Croatia,Croatia,185131(161228-213550),49394(43017-56977),3.45(3.01-3.98)
Europe & Central Asia,Cyprus,Cyprus,45822(40353-51226),35396(31171-39570),2.21(1.95-2.47)
Europe & Central Asia,Czechia,Czech Republic,823246(706105-950223),77151(66173-89050),3.98(3.41-4.59)
Europe & Central Asia,Denmark,Denmark,292294(258145-327613),48253(42615-54083),2.08(1.83-2.33)
Europe & Central Asia,Estonia,Estonia,32865(28180-38529),26336(22582-30875),1.33(1.14-1.56)
Europe & Central Asia,Finland,Finland,298322(259145-337651),53738(46681-60822),2.92(2.54-3.3)
Europe & Central Asia,France,France,1469992(1254801-1717072),21961(18746-25652),1.35(1.15-1.58)
Europe & Central Asia,Georgia,Georgia,24433(21216-28080),6486(5632-7454),0.78(0.68-0.9)
Europe & Central Asia,Germany,Germany,5898529(5161192-6698905),71574(62627-81286),3.6(3.15-4.08)
Europe & Central Asia,Greece,Greece,208331(172944-237301),21437(17795-24418),1.99(1.65-2.27)
Europe & Central Asia,Greenland,Greenland,2030(1719-2392),36259(30710-42731),1.68(1.43-1.98)
