Region,country,WBCountry,totalloss,pc_loss,tax %
East Asia & Pacific,American Samoa,American Samoa,1769(1554-2016),32496(28546-37023),7.51(6.6-8.56)
East Asia & Pacific,Australia,Australia,1014259(882931-1160868),34597(30118-39598),2.49(2.17-2.85)
East Asia & Pacific,Brunei Darussalam,Brunei Darussalam,46168(39498-54108),97034(83016-113724),6.14(5.25-7.19)
East Asia & Pacific,Cambodia,Cambodia,124581(105290-147227),6370(5384-7528),3.09(2.61-3.65)
East Asia & Pacific,China,China,27334400(23539412-31853437),18891(16268-22014),2.79(2.4-3.25)
East Asia & Pacific,Democratic People's Republic of Korea,"Korea, Dem. People's Rep.",43116(36425-50579),1622(1370-1902),3.01(2.54-3.53)
East Asia & Pacific,Fiji,Fiji,32138(27683-36924),32377(27889-37199),9.9(8.53-11.38)
East Asia & Pacific,Guam,Guam,9001(7764-10453),48918(42195-56810),4.34(3.74-5.04)
East Asia & Pacific,Indonesia,Indonesia,3156927(2684034-3718771),10281(8741-12110),2.16(1.84-2.54)
East Asia & Pacific,Japan,Japan,3855499(3395075-4386040),33004(29062-37545),2.99(2.63-3.4)
East Asia & Pacific,Kiribati,Kiribati,403(348-468),2720(2347-3158),4.66(4.02-5.41)
East Asia & Pacific,Lao People's Democratic Republic,Lao PDR,81481(68268-97095),9543(7995-11372),2.92(2.45-3.48)
East Asia & Pacific,Malaysia,Malaysia,1257353(1024425-1504924),33842(27573-40506),3.43(2.79-4.1)
East Asia & Pacific,Marshall Islands,Marshall Islands,492(428-568),7251(6309-8372),6.61(5.75-7.63)
East Asia & Pacific,Micronesia (Federated States of),"Micronesia, Fed. Sts.",505(436-585),3899(3368-4513),4.8(4.15-5.56)
East Asia & Pacific,Mongolia,Mongolia,20724(17654-24555),5323(4534-6307),1.28(1.09-1.51)
East Asia & Pacific,Myanmar,Myanmar,317396(274842-366029),5343(4626-6161),3.02(2.61-3.48)
East Asia & Pacific,Nauru,Nauru,151(129-177),13813(11800-16137),3.55(3.03-4.15)
East Asia & Pacific,New Zealand,New Zealand,195143(170738-222251),36971(32347-42107),2.55(2.23-2.91)
East Asia & Pacific,Northern Mariana Islands,Northern Mariana Islands,2656(2301-3056),43305(37522-49829),5.97(5.18-6.87)
East Asia & Pacific,Palau,Palau,512(449-588),28040(24562-32172),7.2(6.31-8.26)
East Asia & Pacific,Papua New Guinea,Papua New Guinea,48989(41859-57104),4226(3611-4925),3.63(3.1-4.23)
East Asia & Pacific,Philippines,Philippines,1068058(923895-1222644),8284(7166-9483),2.28(1.97-2.61)
