Region,WBCountry,Economic cost in millions of 2017 INT$,Percentage of total GDP in 2020-2050,Per capita loss in 2017 INT $
East Asia & Pacific,Australia,"99,213(97,603-101,892)",0.24%(0.24%-0.25%),"3,384(3,329-3,476)"
East Asia & Pacific,Cambodia,"3,715(3,471-4,222)",0.09%(0.09%-0.10%),190(177-216)
East Asia & Pacific,China,"2,137,589(2,136,657-2,141,195)",0.22%(0.22%-0.22%),"1,477(1,477-1,480)"
East Asia & Pacific,Fiji,"1,277(1,088-1,651)",0.39%(0.34%-0.51%),"1,286(1,097-1,663)"
East Asia & Pacific,Indonesia,"117,529(96,188-156,596)",0.08%(0.07%-0.11%),383(313-510)
East Asia & Pacific,Japan,"200,179(196,437-207,126)",0.16%(0.15%-0.16%),"1,714(1,682-1,773)"
East Asia & Pacific,"Korea, Rep.","172,130(170,045-176,494)",0.23%(0.23%-0.24%),"3,437(3,396-3,525)"
East Asia & Pacific,Malaysia,"54,661(52,632-58,521)",0.15%(0.14%-0.16%),"1,471(1,417-1,575)"
East Asia & Pacific,Mongolia,"944(857-1,175)",0.06%(0.05%-0.07%),242(220-302)
East Asia & Pacific,New Zealand,"10,825(10,526-11,297)",0.14%(0.14%-0.15%),"2,051(1,994-2,140)"
East Asia & Pacific,Philippines,"108,270(104,068-116,235)",0.23%(0.22%-0.25%),840(807-902)
East Asia & Pacific,Singapore,"30,092(29,412-31,350)",0.16%(0.16%-0.17%),"4,784(4,676-4,984)"
East Asia & Pacific,Thailand,"69,682(67,954-72,813)",0.17%(0.16%-0.18%),"1,007(982-1,053)"
East Asia & Pacific,Vietnam,"52,790(48,420-61,768)",0.10%(0.10%-0.12%),501(460-587)
Europe & Central Asia,Albania,663(566-841),0.05%(0.04%-0.06%),246(210-312)
Europe & Central Asia,Armenia,"3,434(3,238-3,783)",0.23%(0.21%-0.25%),"1,174(1,107-1,294)"
Europe & Central Asia,Austria,"35,985(35,406-37,020)",0.27%(0.26%-0.28%),"3,928(3,865-4,041)"
Europe & Central Asia,Azerbaijan,"3,906(3,225-5,580)",0.10%(0.09%-0.15%),361(298-516)
Europe & Central Asia,Belarus,"2,377(2,141-2,877)",0.06%(0.05%-0.07%),262(236-317)
Europe & Central Asia,Belgium,"40,056(38,990-41,930)",0.25%(0.24%-0.26%),"3,343(3,254-3,499)"
Europe & Central Asia,Bosnia and Herzegovina,"4,047(3,759-4,729)",0.24%(0.23%-0.29%),"1,343(1,247-1,569)"
Europe & Central Asia,Bulgaria,"20,756(19,901-22,521)",0.38%(0.37%-0.42%),"3,374(3,235-3,661)"
Europe & Central Asia,Croatia,"4,566(4,206-5,248)",0.12%(0.11%-0.14%),"1,218(1,122-1,400)"
Europe & Central Asia,Cyprus,"4,961(4,923-5,032)",0.34%(0.34%-0.35%),"3,832(3,803-3,887)"
Europe & Central Asia,Czech Republic,"60,393(57,825-66,116)",0.41%(0.39%-0.45%),"5,660(5,419-6,196)"
Europe & Central Asia,Denmark,"27,387(27,021-28,046)",0.27%(0.27%-0.28%),"4,521(4,461-4,630)"
Europe & Central Asia,Estonia,"2,667(2,548-2,893)",0.15%(0.15%-0.16%),"2,137(2,042-2,318)"
Europe & Central Asia,Finland,"27,877(27,344-28,854)",0.37%(0.37%-0.39%),"5,022(4,926-5,198)"
Europe & Central Asia,France,"117,977(115,572-122,043)",0.15%(0.15%-0.15%),"1,762(1,727-1,823)"
Europe & Central Asia,Georgia,"3,366(3,137-3,852)",0.15%(0.14%-0.18%),"894(833-1,023)"
Europe & Central Asia,Germany,"537,918(528,247-554,250)",0.45%(0.44%-0.46%),"6,527(6,410-6,725)"
Europe & Central Asia,Greece,"6,433(6,173-6,953)",0.08%(0.08%-0.09%),662(635-715)
